enojed_most,enjoyed_least
I have enjoyed this class a lot which is surprising because data science and coding is not my strong suit. I am motivated to learn in this class because Prof Ellis makes lectures engaging and keeps the class well organized. I like the fact that we have in class surveys because it motivates me to not only just go to class but also to pay attention. I also appreciate the structure of the class. Everything is well organized I know what is due and when it is due which allows me to always have my own schedule revolving when to get my work done.,Since coding is not my strong suit the labs and assignments can get a little tricky for me sometimes. Being able to run through my code and validate it is very helpful. I don't particularly like the hidden tests but I understand why are they are put in place. 
I enjoy how structured the class is. It's very clear when things are due and what is expected of us. I also appreciate the reminders at the beginning of each lecture.,I wish we could see our quiz answers/scores sooner (I understand how that might not be possible for weeks with free response questions that need to be manually graded).
"One thing that I have enjoyed the most about COGS 108 is how helpful Professor Ellis is during office hours; the professor alone makes this class much more enjoyable and for students who do not have much prior coding experience, much less intimidating.","As of right now, I cannot think about anything that I liked the least about COGS 108. I find the workload to be do-able and the content interesting."
The in class participation/real time data analyses have been fun and informative,"I don't enjoy using datahub and ed, it's annoying to use these things for only one class "
"I’ve enjoyed learning about how specifically to use programming to clean up data sets, leading to an answer for an important question.","I had very little programming experience before this class, so having to get used to coding again has been very time consuming."
"The content has been fun. Data science is completely new to me, so it's interesting to learn about data, even though it seems intimidating and extremely tedious.","I don't really like Data Hub. Since it's my first data science class, I'm new to it, and it can get really annoying waiting for cells to run at times, but that's about it."
"So far I have enjoyed learning about the different visualizations and using Pandas the most. While I have experience in coding, I have not experienced using code for data visualizations. I found this interesting and engaging.","I liked the quizzes the least. Compared to the discussions and assignments, I feel that they don’t go as in depth."
"I like the lab assignments. They are short, easy to understand, and honestly have helped me learn the code better. ","Github...Only because some of the interface is kind of confusing, but since it is important for the final project, I am getting used to usign it. "
I liked the pace of the lecture and how its preparing us for the projects,"For some discussions, some of the TA/IAs dont give information to help with assignments or labs but rather just sit there dont do anything. But i have gone to some discussions where the TA/IA give a great explainations to help us."
I enjoyed learning about the different graphs we can plot and how that information can help us learn more about the data we are working with. ,I dislike Jupyter Notebook as it often doesn't run properly and needing to restart the kernal often. This makes doing the assignment and labs difficult because I would code something correctly and it would fail multiple times but nothing is wrong. 
"I like that there is an incentive to make groups, because it helps me meet new people. I also like that we are using Python.",I feel like we jumped into seaborn and mathplot really fast and it has been a little difficult adjusting but otherwise it's going well.
The hands-on aspect,Glitches with Jupyter notebooks functionality
I've enjoyed the structure of it,I haven't enjoyed how finnicky assertions can be in some assignments
"I have enjoyed Professor Ellis' lectures because she has a funny personality. She makes learning in this class more engaging and interesting, and I appreciate her witty comments. She also is very open to discussion and questions, and encourages us to talk with others. She is patient and explains topics very well, as well as is very knowledgeable when answering our questions. ",What I've liked least about the class is the length of the discussion lab assignments. Some of them have taken more time to complete than the assignments themselves. 
I like that we have weekly practice problems to do in Datahub because it really helps me understand what we learn in class. I also like that we can attend any discussion which is more flexible for our schedules.,I’m only taking this class to fulfill my major requirement so if it wasn’t required I probably wouldn’t take it. 
"I never really understood the concept of data science and how connected it is to computer science. I have prior Python coding knowledge, but I never fully understood how data science works, so I would say that that is the thing I enjoyed most learning in COGS 108. I also like working on group projects just because it enhances my collaborative skills and makes doing the assignments a little easier, I guess.","I think one thing that annoyed me is the bugginess of JupyterLab. When I try validating my assignments on datahub it always crashes or lags for a long time, which shows how buggy my notebook is. That's the only thing that I really didn't like. "
I enjoyed learning how to use pandas. I really liked using the functions and seeing the visualizations appear when I run the code.,I don't really like using jupyter hub because of how it runs the code. Sometimes my code would be correct and it would give me an error and when I refresh the page a few times it would work.
I’ve enjoyed learning about the real life applications of data science and its ethical implications. ,I’ve least liked the moments of confusion I feel during lecture when concepts relating to applications to further analyze data; I think i would benefit from a more slow and simplified explanation as a newbie to data science. 
"I've enjoyed the assignments the most because I feel like I learn the most from doing them. Though they're quite challenging and time consuming at times, it's good practice and I feel like I'm making good use of my time and learning new skills and topics I didn't quite know before.",I think I like the group project the least. I feel a little unsure of how it should be approached or how I should work towards the project without holding my group back.
Just learning about coding is fun and challenging,It can get really confusing sometimes. Also we have to use extra time outside of class time for the group project.
I liked the previous project review as it gave me a lot of direction and an idea on how to approach the overall Final Project. ,"I think when it comes to assignments, I think when it comes to the assignments, it tends to get very laggy or glitchy when running the kernel, I know it's a client-side problem, but it is sometimes frustrating when I try running my notebook."
"Applications to research, especially regarding ethics! As someone in research, it’s always nice hearing how to prevent adverse effects resulting from publications.","Honestly, the class time haha - I know this is completely out of the control of the instructor but it does interfere with some of my other obligations."
I have enjoyed the interactive questions because of the extra credit and sometimes because I do learn content that is discussed in class. I also like that we get to be in groups for the final project. ,"I do not like how uncertain COGS 108 is. For example, the final project. I have no idea of the outcome or how it is to be all done because we learn one thing in class and then it's another thing. We switch from conceptual learning (i.e. clean and tidy data, ethics, and the 9 questions) then we go to actual coding. It has been confusing and overwhelming to say the least."
I enjoyed learning about the many aspects of data ethics and how it can have very negative impacts in the real world. I thought the inclusion of the real world examples mixed with listening to the lecture by DJ Patil gave me a deep understanding of the importance of not abusing your responsibilities. ,The thing that I liked least about cogs 108 is doing the labs and assignments because some of them tend to be tedious and have a lot of instructions to read and follow in a very specific manner. I understand how they are good for learning the basics of python but they can tend to be a bit too long in my opinion.
"The lectures! They use relevant examples to explain concepts to make class engaging. Also, the guest lectures provided a unique perspective on the data science field.","The assignments and discussions are often very different from what we learn in lecture. I know this was mentioned in class, but it still takes some research to be able to complete them (since I do not have a coding background)."
I have mostly enjoyed doing the assignments and discussions because I like how they make me think outside the box and they are also deepening my pandas knowledge which i enjoy.,The thing I have enjoyed the least about cogs 108 is honestly probably lecture since I am already familiar with the content that we have been covering for the past five weeks.
LEARNING A NEW PROGRAMMING LANGUAGE AND VISUALIZING DATA,THE AMOUNT OF ASSIGNMENTS/TIME COMMITMENT PER WEEK
I have enjoyed lectures where we interact with jupyter notebooks,"I least enjoy working on discussion labs because in lab, we spend more time on group project than focusing on the lab."
I like the lectures and how they are interactive.,I feel like it required a lot more previous knowledge of coding than I thought.
We are working on Jupyter for homework and lab which is practicing a lot for coding skills.,I would like to tell that the guiding part of homework and labs are not clear enough to me.
"lectures because of things like the examples used, the way the professor lectures, and the engagement",wish there was more time for simple and small examples to practice using seaborn and matlab before a2/d3
"I think ive enjoyed the teaching style and work load, its a very ""make your bed and lie in it"" kind of class if you want to you can just watch lectures and do notebooks alone or you can be more hands on but at the end of the day it allows you to make your own bed so to speak.","I think probably my least favorite thing would be the speed at which collab is expected, around week 2 classes are barely getting settled and I do think it would be helpful to do some kind of survey or interest and try to pair people in the first two weeks off that to ensure groups are cohesive. The other thing is just way pandas and those things are taught however I dont think its specific to this class, the library is so expansive it basically always boils down to ""you know the use cases if you need syntax look at the documentation"" but I do recognize that the limiting factor is time. Very minor nit picks though overall am enjoying the class."
I enjoy completing the labs and assignments. The process of applying what we learned in class is the most enjoyable part for me. My favorite lectures are also the coding-based ones. I particularly liked the data wrangling lecture.,"I feel slightly frustrated by the instruction-related errors that occur in the coding assignments. I understand that mistakes happen, but I start to get confused when I have to keep track of the announcements in lecture or EdStem. The issues with A2 were particularly stressful. I also struggle to complete the labs sometimes when there haven't been as many examples in the lectures, but I understand that the purpose is to make us synthesize what we learned to form a concrete solution."
I've really like the content of the lecture once we started having lecture with the jupyter notebooks. I like learning more about visualizations and started to get more complex programming. Overall I really like the class structure and it makes planning my week a lot easier. ,"Nothing, I've had no issues with the class"
"What I have enjoyed most so far is the team collaboration, this class has allowed me to meet new people. ",Probably the assignments they are long and sometimes can be a little confusing. 
I've enjoyed the lectures. This is my second class with Professor Ellis and she is the only professor I commit full attendance to. ,Navigating working with my group has been a bit awkward because I don't know them very well and find that they may not want to meet in person. This has nothing to do with the class!
N/a,The quizes
I like learning about pandas because I think it’s interesting. I also like having a group to work with for the project because I feel like I have a community to reach out to when I’m stuck.,I do not like the data wrangling assignments because I feel like I do not have that much experience with Python so I feel like I’m struggling with it more.
I have enjoyed coming to lectures since they are engaging and not boring. I feel like I learn a lot from following along with the notebook and answering the google form questions. The course feels well organized and I can tell prof is prepared and cares about our learning.,"Overall I am pretty pleased with the class. I sometimes forget about the weekly quizzes, but that's on me. They're straightforward and relate to the material in a way that makes sense. "
I enjoyed meeting new people in my group project because it's difficult to get to know people in my classes aside from discussion sections and lecture. Our group has been very successful in meeting every week and have shared more informal contact information as well. ,"The thing I liked the least so far is how sometimes the lecture notes doesn't always align well with the lab assignments. However, this is still a fair system because this class isn't meant to be an introductory one. To make this easier I think I'm going to try to find a master list of things to use in python code. "
I like that this is a very project focused class as I have always wondered how to go about doing a data science project. I also like that we get to meet new people to do projects in this class.,"The thing I like least so far is that I feel like we are expected to do things in the discussion labs or assignments that I am not familiar with. But, this makes sense because this is not an introductory class and the issues are often fixed with a couple searches on google."
I enjoyed coming to lecture and learning all different aspects about data science.,"It takes a while to sit down and do the assignments and having to do a lecture quiz every week. The project also takes time to coordinate a time with group members, which was sometimes hard."
I have enjoyed the format of lectures and how the assignments reflect what we learn. I appreciate how clear it is when and what assignments are due each week. I also have been enjoying the topics in this course.,I have liked least figuring out each site we use to submit work and understanding where everything is on each site. I still feel unsure about git but I am getting more comfortable on Jupyter notebook.
So far I have enjoyed working with my group. Together we have created a good project proposal and have a good rhythm of working together. ,I have least liked the structure of the homeworks. 
Learning Pandas,Lecture is at 9am :(
I like the access to notes and professor makes lectures engaging,Wish all lecture material was covered before discussion lab is released so you can go to earlier section weekdays 
Seeing code create graphs ,Not being able to understand the long lines of coding
I've enjoyed the most in trying out the different codes (organizing & filtering graphs),I liked leaast about COGS 108 is the hidden tests that doesn't show and fail to get full points on the assignment.
"I have enjoyed familiarizing myself with csv., and the basics of coding.",I least enjoy coding especially working with data frames. I personally am not too confident in coding.
"I like that the pace of the class is digestible, the class doesn’t go too fast nor too slow. ","There isn’t anything that I have to complain about but maybe for better group building, it would be nice to have required a group assignment earlier in the quarter to  get comfortable with each other before starting work. "
I love the project aspect so far! It's fun to meet people and try to find a common question to answer.,I don't love the assignments honestly. They're difficult to debug and a lot of times I'll get an error and it'll fix itself after I restart the kernel. Then they'll reappear so I'm not sure if there really is an error or not.
SO FAR SO GOOD! I enjoyed working on the group project with my group mates because we are working as a team and everyone has a specialty in some areas.,"I love everything that this class has. If I have to pick one, I'd say is the new experiences with different platforms and coding language that I wasn't familiar with, which made me to step out my comfort zone haha. Overall, I appreciate it so much but I don't like it very much"
I enjoy how the workload is very manageable and the assignments and quizzes are reasonable as well. ,"I don't think this is directly tied to Cogs 108, but sometimes datahub/jupyter notebook doesn't work that well."
"I enjoyed working with my group mates on the project, discussing what we want to accomplish is fun.","I wish the class slides could be more specific on teaching us to code, though all of us have had basic python class before, the level of learning is quite different between individuals. "
I liked that all assignments are due on the same day every week which makes it consistent.,Like what I like most I also don't like that everything is due on the same day because it make it overwhelming that everything that week is all due on one day.
I like how the labs and assignments teach everything from the start rather than I assuming we know a lot beforehand. That I can work on them directly after lectures without feeling lost or needing to self-learn a lot through Google.,"The quizzes can sometimes have confusing questions that were not really covered in the lecture but rather a continuation of what we covered in the lecture. For example, if in a lecture, we covered a topic from A to E, the quiz would ask about something after E, meaning outside what we covered. That is expected, but sometimes I can argue that multiple answers (or both answers if T/F question) are correct. In that case, I cannot go back to the lecture because we did not cover this.
Also, I think for one of the quizzes, we were asked about something we still had not covered in class yet, as we ran out of time, so we left it for next week, but the quiz still had a question about it. I think that happened in quiz 3, where we were asked about privacy when we had not yet covered it in the lecture."
Professor Ellis's enthusiasm and excitement to share her knowledge in class. It makes the material much more interesting and feel like it's worth learning.,"The D3 assignment was honestly quite difficult. I had to ask for a lot of help and even when the TA's gave me a glimpse of their code I had no idea what they were doing, what things meant, how I would even begin to try and complete that myself. I think it's because our lectures had nothing to do with data viz so it was mostly figure it out yourself. Also, some of the questions were not worded very clearly so it was not explicit what kind of graph/output the question was asking for."
"I've enjoyed data visualization most so far, I think partially since it was really fun getting to learn a new Python library and the different formats that took. I also thought it was cool actually making our own graphs and plots, especially going from just a few lines of code to a visualization that would take quite a bit of time to hand-draw/things along that line.","I think my least favorite part about COGS 108 so far has been version control, just since it was a new concept for me and I found it a bit confusing/stressful to implement since I was worried I'd mess something up more permanently compared to just messing up a section of code. However, I think Github Desktop has been really helpful in helping me understand this section of lecture."
"I have liked the step by step homework. I am not the best coder there is, so the step by step has really helped me understand what to do and what not to do. It has also helped my coding abilities","I have not liked the non step by step homework, more specifically D4. I got a bit lost, and had somewhat of a hard time doing the coding."
"Getting familiar with packages in python (pandas, seaborne, etc)","9am class time, I go to bed too late"
I think the coding skills such as the pandas and numpy libraries are pretty useful especially for future work. These skills can be generalized beyond the scope of class. I can use it in lab and work.,"I think the organization of the class is a little overwhelming because there are so much work to remember. Although the workload of each work may not be so heavy, all the workload splits into different tasks make me hard to track them. Sometimes, it is easy to omit some task and lose that point."
I enjoy being able to understand what data science is and being able to practice by using it in the assignments and discussion labs. I also enjoy getting to do hands on data visualization with real data. ,"For me, some of the discussion labs are a bit hard due to the depth of python programming those assignments assume I have but don't. "
"I've enjoyed the format of the class, especially that we are given projects and assignments instead of in person tests which allows for a self-directed educational experience.",The course doesn't explain python syntax or support for people less experienced in coding which I understand. 
"I like how there is a big project as the main assignment for the course. I think it is a lot more useful than taking a midterm and final and likely forgetting most of the information after the tests. Doing a project seems more interactive and helpful, especially if we include it on our resumes. ",I don't have any complaints about COGS 108.
"How organized and engaging the class is. I like how clearly the assignments and deadlines are structured. Professor Ellis also makes attending in-person more fun by making the lectures more interactive, encouraging participation, and connecting the material to real life examples. ",The amount of students feels a little overwhelming and makes me feel invisible. But I resolve this by coming to class early and sitting in the front row. 
I would say the project planning and journey in trying to make a nice project that fun for me and the rest of my group. ,I guess the lack of depth. We don’t go much into detail about things. But it’s 10 weeks and we wanna cover a lot so it makes sense.
I have most enjoyed starting to work on the projects as I am able to to use my data science skills on a fascinating project.,I have not particularly enjoyed some of the assignments because there have been issues with some of the assert tests.
I have really enjoyed the assignments on datahub because they have made sure that I am applying what I have learned.,"I have least liked the lectures through slides, I enjoy the lectures that are on datahub much more because it allows us to see live application of what we are learning."
"The detail that you go through in lecture really helps, and I really like that when a student asks a question during lecture you make sure the whole class understands what is being asked and also the answer that you provide. Lab assignments really help prepare and understand the regular assignments.",Assignments are a bit stressful just because I want a good grade and they are worth a lot more than the lab assignments.
I think my favorite things so far has been the 7 free late days because it alleviates stress,"I think so far, one of the things I would change is making discussion section more helpful in regards to the assignments, like a brief walk through the D assignments."
I like the collaboration aspect of the class. I like the new people I met. ,Sometimes the datahub assignments can get annoying. The test cases are sort of strict. 
"Working on the final project with the team, since there is a nice team collaboration experience going on right now. People are contributing all together and putting this final project together. ","The first assignment, instructions about the github portion was not well and I missing that part of the grade even with the github repos. "
"The interactiveness of the class, such as discussions with class mates about poll questions.",It's hard to find a time where all 5 people in the group are available to meet.
"I find the coding assignments and labs easy to understand, granted I have previous coding experience.","The project seems so overwhelming and so much work, despite us not even starting really yet."
Learning about Python libraries like Pandas and Numpy,The weekly labs are lengthy 
The labs because it is easy to see if you did them correctly or not.,The lecture quizzes because sometimes it is subjective.
I've enjoyed working with my group. They have been helpful and we all work together well. ,I thought the assignments are really long and I procrastinate finishing it. I'd rather have assignments more often but less to do for each one. 
The thing that I've enjoyed most about Cogs 108 is learning more about data science as I had now prior experience in it.,The thing I've enjoyed is that sometimes they are hard topics to grasp.
I like that the project is the main component of this class instead of exams. I also like that the project can be something we can add to our resumes,"There's nothing that comes to my mind, I think everything in the course is designed very well"
how to manage data,labs
I really enjoyed doing the labs. I like how they provided step by step instructions and guide to each topic. It was completely easy to understand and I really liked this format or learning.,"Currently, I mostly like everything in this class. However, there was one assignment that I particularly disliked. That assignment was reviewing past COGS 108 final projects. Although I liked the idea and thought behind it, I do not think it was effective in what the assignment wanted to achieve. The questions that we had to answer for the project we reviewed were challenging to answer because I didn't really know how to answer them. I didn't know if the projects were good or bad. I didn't know if the code was good or bad. I didn't know if the visualizations for the machine learning part were good or bad. There was a lot of content within the projects that was unfamiliar, so it was hard to pinpoint what was effective within the project and what wasn't. I kind of had to just go off of the feeling or vibes I got from the project. I think the only thing I found helpful were the introductions and background at the start of those projects because they helped me understand what a project should look like."
The collaborative chatting tie during class where we discuss answers to questions ,-
We have labs and assignments to practice coding and skills we need in preparation for the project. ,"The labs and assignments aren't hard, but there's dues each week which makes me somehow feel stressed when it comes to exam week."
"I have enjoyed the participation and class talk the most in COGS 108 because it allows me to put to practice what I learn, instead of just listening to lecture. I like learning through practice, so listening alone makes me forget easily.","There is nothing particular that I dislike about COGS 108. Everything is perfectly fine to me so far, but if there is one thing I have to pick, sometimes the professor talks too fast. I sometimes get lost if we speed run through one slide, especially if that topic is new to me."
I like how we get to discuss with other people during lecture,"I wish we had more review over the coding parts, it's a bit confusing to figure out homework sometimes"
Working together in a group and learning how to develop in a team using Github,"There are too many assignments and it gets confusing to remember. The content isn't hard or time-consuming, but it's just hard to track all the different types of assignments. I would rather have one or maybe two a week that are longer so it is not confusing"
I enjoy the active learning aspect of lectures. I'm unfortunately very familiar with lectures that lose my attention very easily and don't have a lot of active learning. ,"My least favorite part of COGS 108 so far was the difficulty that D3 was, but I'm not blaming anyone for this besides perhaps myself... I didn't go to section. I was trying to do it by myself at home, and the lecture notes had some good examples here and there."
Interesting material? I don't have much experience with data science so I think it's interesting to learn all the different ways of gathering and organizing data.,I wish there was a more in-depth tutorial for pandas and the different types of things you can do with it.
I like that the notebooks and assignments are straightforward and easy to follow along. ,I feel like the labs could be a bit more detailed in regards to syntax/what is looked for in the code in the instructions.
"Yes, I learn a lot on how to propose interesting data science question, consider about ethic and stakeholders and coding",cannot think of any
Learing about how to visualize the data.,"There's not a particular thing that I don't like, but if would be better if the font size of the code could be bigger when projected on the screen because sometimes it's a little hard to see what's being modified on the code."
I enjoy the lectures because they make the material easier to understand and I enjoy the participation stuff. It's actually interesting and I learn a lot from it.,Probably the D3 lab assignment just because it took me awhile to get it and I spent hours on it trying to figure it out.
I've enjoyed how it explains the practical application of what we're doing.,Sometimes the discussion assignments feel a little repetitive.
The flow of the class,I feel more practical examples would help in better understanding the comcept
Lectures,Assignment 1
I've enjoyed getting more hands on experience coding. Completing the labs and the assignments are making me feel more confident in my data science skills. ,I am not a big fan of group projects and I think especially ones where the project is largely in our hands. It will be an academic challenge that I'm not accustomed to but I also know that the final product will be very rewarding. 
lectures are fun and informative,nothing really 
I think the Labs in this course is pretty useful ,nothing 
Practicality. I like how I can immediately see the results of my actions through code presented in data science applications such as jupyter notebooks.,"Bugs with jupyter notebook assignments that make me nervous when submitting. The submission process is quite more complicated compared to other submission processes; for example the assignment must be fetched and manually submitted, and even then are some of the validation does not work at times."
"I have enjoyed learning about coding in a simple, effective way. The class takes everything at a time, it is not overwhelming. ",I am a litlle scared about the final project.
The opportunity to learn very valuable tools like numpy and python. ,Misalignment between lectures and assignments. Which is okay but just causes some confusion sometimes. 
The Labs were very helpful in providing opportunities to practice technical techniques covered in class and prepare for the assignments.,"The group project, but this is solely due to personal preference. I usually choose to work alone when the option is available, this is solely due to personal preference."
I've enjoyed learning about the real-world applications of data science.,Nothing
I’ve enjoyed the process of developing a project proposal and learning about the different data science methods we can apply. It’s exciting to think about how we’ll use these tools in our future projects.,Deciding on a data science question and being able to find the ideal dataset seemed like a tiring and tedious process.
"Probably learning about data visualization and git, feels like stuff that I will use again and again in future classes, personal projects, or in a work environment.","For one week, I did the discussion before the assignment and I felt like the assignment kind of taught you how to do the things for the discussion lab and didn't realize that. "
I like working with Pandas and the datasets,I have not enjoyed trying to figure out the graphs in the Labs and the autograder
I most enjoyed being able to go to discussions whenever I need extra help on my discussion labs. It makes it easier for students who don't like going one-on-one with TA's during office hours to get aid. ,"The thing I liked least about COGS 108 so far is that the weekly quizzes are single attempt. I think it would be more informative if it allowed multiple attempts, while also having some relevant multiple-choice coding questions."
The flexibility is amazing ,the clearness about the instructions 
Being able to work in groups and having a very open ended final project,The discussion hw and assignments because it's mostly stuff I have done before
"I think that the labs and assignments have generally be interesting to work on. Given that I only took COGS18 as my previous experience with python, I think that the labs especially have been a nice refresher and has allowed me to explore some new concepts that I hadn't known about before. Beyond a few hiccups of being lost on what tools are available to me for a few tasks, conceptually I am doing pretty well at understanding everything.","I think that the group project is extremely intimidating. The project task itself seems very extensive in what I would need to do to accomplish it but also having to work on it with 4 other people of which some seem to have a different perspective about the quality of work to strive for, it is a bit stressful just thinking about how my future timeline is going to look."
Applying python is more practical setting. Not too familiar with python before this class but it's fun getting the hang of it and actually learning about data science.,"What I've liked the least so far is the extra credit. I know it's extra and professors don't need to do it and I'm thankful there is extra credit at all, but the opportunity to do and earn more would be nice."
"The class feels very interactive and engaging, I especially like how Prof. Ellis integrates the attendance questions with lecture content (ie. using the estimation activity as data to clean and analyze later down the line).","Felt like I always have to look up and double check documentation for pandas/seaborn, but maybe all the functions haven't sunk in yet. The lectures going through the notebooks are quick and tend to gloss over a lot of details but overall I think that's fine, I probably just need more practice with pandas."
"I have enjoyed learning about Seaborn the most. I feel it very fun to try and come up with interesting plots and visualize the data. Once you can see trends, it makes it easy to find answers to problems that arise.","The large amounts of work, I feel very overwhelmed. There is a lot of content, some of which I have done, other is new. I feel like the class moves very quickly."
"I liked learning about how to use different plotting libraries in Python. I had previously only used matplotlib to make plots, so getting additional exposure with seaborn helped me understand how to easily make visualizations like countplots.","I thought that the instructions in some of the assignments and discussions have been a little bit unclear, and some of the loading in data cells take a rather long time to load. But, my questions have always been quickly answered in EdStem which I appreciate."
I really enjoy how open ended the project can be. It gives me something I can show off on my resume which is great. I also loved the guest lectures. I learned a lot of career advice from watching the spotify guest lecture. ,"I have least enjoyed the discussion and assignments. This is because I find a lot of the questions to be ambiguous. I'm often left wondering what the question wants me to do, and I end up having to reverse engineer the solution from the assert statements. In my opinion, I should not have to do this if the question is clear enough in what it wants me to return/do. 
Also, DataHub is very difficult to work with at times, as I've had trouble validating, saving notebooks, and submitting assignments. In my opinion, the assignments should be on GitHub so that students both can use the git clone and git pull commands they learned, while having the files locally to avoid the current conflicts that I face with DataHub."
"the lectures, i feel that they are very engaging and interesting","the homework, i feel that i struggle a bit with the hw especially the discussion ones and often times get confused on what the error is"
The assignments/discussions. As a bioengineering major I don’t have much experience with python. The assignments are fun as they allow me to sequentially build my knowledge of python and investigate how to code through actual practice.,The majority of my classes are Tuesday and Thursday and 1 hour 20 minutes. I think having longer lectures would better suit the class as often topics are spanning multiple lectures. In the second day of the topic I often have to catch myself up on what was done last lecture
I've enjoyed learning about the ways in which data can become biased simply by surrounding environments or just inherently in the way it was collected. ,"I dislike how little guidance there is for some of the coding, especially coming in without any prior python knowledge. It would help a bit more to go over more of the unique syntax and general functions of the code in class more often. "
I enjoy that the curriculum is very comprehensive and covers a broad scope and touches lightly on many different essential topics / skills rather than tunnel visioning on one. ,"The assignments and discussions are very poorly made. There are often typos and spelling errors. On more complex problems, there should be examples on what the input should look like"
I really enjoyed the high level overview of data science and the pace of the class. As a data science major this material is familiar to me but I am not getting bored with the content.,No complaints!
The project based style of the course where we are able to collaborate on a project with a team similar to the what would happen in the workforce was my favorite because it's the most applicable.,"Sometimes, the weekly quizzes would ask questions that the professor didn't cover yet and it was in the lecture she gave after she came back from her trip."
I enjoyed learning about data science principles and how we should be conducting projects. I find the material to be really useful. ,"Sometimes, the instructions for the assignments and labs don’t give enough information. For example, for D3, we weren’t told that one of the graphs was supposed to be a grouped barplot instead of a stacked proportion graph like we were taught in lecture. I only figured this out when I went to discussion to ask about a different question."
I like how Professor Ellis teaches; she is great at explaining concepts.,I don't like how the weekly assignments and labs feel like busy work. There just feels like a lot to do but maybe that is just the quarter system
Learning about data science and the way the course is structured.,The datahub glitches.
"I have enjoyed the lectures, they are pretty informative and Professor Ellis is highly knowledgeable and an enthusiastic educator. ","I don't enjoy how python heavy the course is, it's definitely a steep learning curve for those that are not too familiar with python so the assignment and discussion lab can be pretty daunting and harsh. "
"What I have enjoyed most about COGS108 is how simple the flow of the class structure is. I understand what needs to be completed every week and I am given the resources available to do so, as in the information is in the lecture.","What I have liked least about COGS 108 so far is how difficult some times the assignment becomes. What I mean by this is that, sometimes when I am doing an assignment I am stuck on one part for a very long time and un able to correctly match the assertion values. Yes, I do look at online resources to look up syntax, however sometimes I am unable to get the correct values which leads to frustration. I suggest teaching more syntax that is applicable in the assignments and labs."
