enjoyed_most,enjoyed_least,difficulty,time_spent,a1,proposal
"I get to learn a lot about a completely new field for me that I think I can apply to my career, which is product design. I think the learning pace is somewhat reasonable.",I found that there are just sooo many things to learn at once. How can someone remember all these. I hope we have a more structured material like a branching tree or bullet points to help memorize.,somewhat more difficult,somewhat more,6,3
"Learning python, having weeks videos accessible early in the week so there’s some flexibility, also not having to go to lecture","The final project, even though we haven’t done a lot of things related to that, I know that during finals week it’s going to be very stressful ",way easier,somewhat less,5,7
I love how the class is structured. Video lecture is helpful because I can comeback and watch the lecture again. the Assignments are helpful,Nothing,about as difficult,about the same,3,4
"I enjoyed the notebook examples, they are clear and give much guidance",I sometimes would click on wrong videos,about as difficult,about the same,3,4
Course content is super interesting,Reading quizzes are more difficult due to confusing questions rather than lack of knowledge of on material. ,somewhat more difficult,somewhat more,2,2
Learning about different approaches to graph data and learning about data visualizations. ,Performing statistics on the data ,somewhat easier,somewhat less,3,1.5
The flexibility to watch the videos and take the quizzes,,about as difficult,about the same,3,3
"I enjoy the video being separated for my short attention span. and Assignments, i think they are very fun. ","I would have enjoyed the opportunity to work on a final project independently the quarter rather than a project the week of finals week, but that is also fun and useful to me too for interview preparations. ",about as difficult,about the same,2,2
"I never learned pandas like this although using it a lot, and have to search for anything that I wanted to do. Right now, I feel more confident in using it.",quizes. ,somewhat easier,somewhat less,0.5,3
I really enjoy the assignments and what we have learned in the class.,Honestly the quizzes feels a little bit overwhelming. Sometimes when there are 3 quizzes in a day I get caught up with work and have forgotten to finish the 3rd quiz on two separate occasions. I get that you want to check our understanding but sometimes it is hard to keep up with the quizzes,about as difficult,somewhat more,4,4
"The lecture videos are great in helping me understand basic data science concepts, and the projects help to put my understanding to practice.","The individual proposal felt fairly restrictive in what I could use, given the topic at hand.",somewhat easier,somewhat less,3,6
The lecture topics and interactive notebooks we cover as well as how the homework is laid out. I enjoy having the hw broken up step by step as well as the helpful tips along the way!,Maybe the quizzes although I think breaking up lectures into smaller more concise videos is really beneficial. I prefer having the shorter videos in comparison to 3 super long videos each week :),somewhat more difficult,somewhat more,1,1.5
The assignments are designed so well that we can learn pandas while completing them.,so far so good,somewhat easier,way less,0.2,3
Learning and using Git and Github as it is a very practical subject to learn.,"not seeing the correct answers after a quiz, as I do not know where my flaws in understanding the material are",somewhat easier,about the same,1,2
Learning Python. Its been nice to finally have a reason to learn the language ,Trying to understand the syntax when coding and how to obtain data,somewhat more difficult,about the same,3,5
I have enjoyed learning how to manipulate data and using pandas.,"I don't like the video quizzes too much, the quizzes sometimes are confusing, but are most of the time easy.",somewhat easier,about the same,2,3
The project proposal was really interesting to write. We spent a lot of time thinking of what we wanted to do and gathering data and prior works was really fun.,"The quizzes really stress me out. It feels like they're such an important part of the grade (20%!) and sometimes the questions are confusing, especially with the longer videos. Maybe on those, you could do a quiz that's inside the video so every 8 or 9 minutes it stops and asks a couple of questions about the material that was just covered.",somewhat easier,way less,1,4
"I like the style of the lecture. Each videos are short so it encourages students to learn rather than falling asleep in a 50mins long lecture video. I also like the structure of the hws, they guide students step by step and also encourage students to research more as well",I haven't found anything yet.,somewhat easier,somewhat less,2,5
Learning about data science,Long videos,about as difficult,somewhat less,6,4
I learned a lot about panda and analyzing data,I learn how to use python and  Manipulate data,way easier,somewhat less,1,2
How straight forward the lectures and assignments are,Trying to find data for my project,about as difficult,about the same,6,6
I enjoy collaborating with my team about the group project.,The assignments are sometimes difficult to do but its a good feeling when it works out :),somewhat easier,about the same,3,5
I enjoy how straight forward assignments are. ,I wish we would go more in depth with the materials,somewhat easier,about the same,2,6
"Lectures, lectures are really cleared and well-explained. ","Quizzes, I'm afraid quiz grade is going to hurt my overall grade even after the free 20 points. ",somewhat easier,somewhat less,1.5,2
,,somewhat more difficult,somewhat more,1,4
"I really like how the assignments are designed. Using Jupyter notebook is super convenient as the instructions are easily accessible (no need for excessive alt+tabbing), it's super easy to follow and we get instant feedback on if we're doing something right/wrong.","I don't have much to complain about as the class is well-organized, quizzes are fair, project descriptions are very clear, and there is a plethora of resources.",way easier,about the same,1,5
"Playing with data, statistics tool",NA,about as difficult,about the same,3,12
Not too bad,"I hope we can have more extra credit for the quiz. Some quiz questions are a little bit tricky, even you listen to every video carefully.",about as difficult,somewhat less,1,4
The professor and her humor on piazza. She’s very understanding and always willing to help when I am stuck on something.,Quizzes. Sometimes I choose the wrong answers accidentally or the “more than one answer” questions because I tend to mess up on those.,somewhat easier,somewhat less,1,1
I have enjoyed lecture the most so far. The professor makes everything very easy to understand with the concept explanations and then the examples in the python notebooks.,"There hasn't been anything that I didn't enjoy in particular, however it has been a little difficult working on the project with my group members remotely. We're doing the best we can.",somewhat easier,somewhat less,1.5,4
Understandable lectures and flexible schedule. I can spend the first half of the week learning material then spend the rest of the week doing the homework.,Nothing,somewhat easier,about the same,2,7
I like learning about creating more effective and clean sets of data; I think tidy data is important and it helps create meaningful visuals.,I am still Github illiterate :(,somewhat more difficult,about the same,5,3
organized course content - everything is easy to access and find. Feels like the professor is competent with Canvas/github/remote learning,,way easier,about the same,1,3
The lecture notebooks are really helpful,The video quizzes are too easily to get wrong,about as difficult,about the same,3,5
Learning about data frames. I have been using the older method of opening a csv and parsing it line by line.,The quizzes are sometimes not completely based on the videos. They require personal intuition.,somewhat easier,about the same,0.5,6
"I have enjoyed the course material the most. We have been working our way through the scientific method, from question to data to analysis, which I think is pretty cool.",I would say my least favorite part has been the lecture quizzes.  They are timed which makes it more stressful than it needs to be.,about as difficult,somewhat more,2,15
the concept is meaningful,there are too much quiz and too short time to consider for taking the quiz,somewhat easier,somewhat more,0.5,2
,,way easier,somewhat less,1,2
This is the best asynchronous class I am taking this quarter. I enjoy the small lecture + quiz format. It makes it easy to keep on pace with the course.,,about as difficult,about the same,2,4
"The teaching method, this can really help me understand a lot things",No all things are pretty good,somewhat easier,somewhat less,1,5
I’ve been enjoying the way lectures are posted on YouTube in a chunk of smaller videos instead of one long 50 minute video. ,"Sometimes I forget to do the quizzes, which is on me, but some days the quizzes will be worth only 6 points in total and other days it will be worth like 15 points in total, and we only have 20 free points. So if you forgot on a day where there’s not a lot of points, it’s fine, but if you forget on a day with a lot of points you could be using almost all your 20 free points on one day. I know it’s ideal that you don’t forget but it would make more sense if the quizzes were worth the same points every day. I wish there was the ability to take the quizzes up to a day late for a little bit of credit. It’s hard adjusting to online learning and I’m not used to remembering to have to take a quiz every other day. It’s different being in my home environment as opposed to being at school where I wouldn’t forget to go to lecture. I just feel like they’re not really equivalent and I wish there was some more leniency.",about as difficult,somewhat more,5,3
Programming assignments are interesting,"Moving a little slow so far, but looks like class is picking up",somewhat easier,somewhat less,1,1
explain the overview of data analysis process,The lectures focus on little coding techniques,about as difficult,about the same,0.2,7
There are a lot of resources available to students. I appreciate Prof. Ellis's flexibility and understanding. She is very helpful during office hours. The course material is interesting and very useful for industry. ,Github and submitting proposals. I find that entire site to be extremely confusing and I am never sure about whether I submitted a pull request correctly or not. I wish there was a more simple way to get all the proposals and other stuff submitted.,about as difficult,somewhat less,4,2
The lectures are very nice,The hw assignment was pretty lame,somewhat easier,about the same,1,2
The video lectures and homework assignments have been really enjoyable. I like how the video lectures use examples of application for what is covered in them and the homework has very clear instructions.,"Nothing, everything has been pretty good!",somewhat easier,way less,1,4
Playing with numpy,"Posts on Piazza that are a waste of time: asking for assignment to be released after Prof JUST said no, grading schemes to be changed ",somewhat easier,about the same,0,4
Working with python has been great! I really wanted to increase my knowledge of python in data analytics and this class is doing a great job at doing so.,Sometimes the daily quiz questions are unclear and cause me to answer incorrectly when I misinterpret the question.,about as difficult,somewhat more,2.5,2
Manipulating data and using to understand the relationships between given datasets.,Being online and unable to interact with classmates.,about as difficult,about the same,2,4
Learning about all the different applications of data science,"Lack of more hands-on, interactive activities to apply what we learn while we're learning it in lecture (which I understand is very difficult if not impossible given the online format due to COVID-19)",about as difficult,about the same,3,2.5
the short video lectures,HW response is too slow,somewhat easier,somewhat less,4,6
I enjoyed the Jupyter notebooks and the exercises that allowed us to see how data science was applied in practice.,I did not like the comprehension quizzes and the lack of feedback on the Jupyter notebooks.,somewhat easier,about the same,2,4
The relative controllable pace,None,way easier,somewhat less,1,2
,,about as difficult,about the same,1,3
"Being able to learn on my own time with the prerecorded lectures and learning about data science is cool. I didn't know too much about data science and how it is used, so this class is pretty interesting. ",I feel like I might forget some of the information from the lectures because I don't apply my knowledge very much. I know that we'll use a lot of the topics from lectures in the final project so hopefully that will help reinforce the topics we've learned.,somewhat easier,somewhat less,2,3
learning python,weekly quizzes,way more difficult,way more,9,6
The Stats,Coding,somewhat more difficult,about the same,10,12
"Lecture videos are very well done, clear/organized, and interesting, much better than my other classes' videos",,way easier,somewhat less,2,4
Quizzes,Time limit of quizzes,about as difficult,about the same,2,8
The PAs. I've never used Jupiter Note books in other courses. And I like the way how it formats the coding part and text part together. It makes my learning efficient.,I didn't have enough time to complete the quiz some time. It'll be great to have a little bit more time on each quiz. ,about as difficult,about the same,2,6
Coding!,GitHub ,somewhat easier,somewhat less,4,6
,,about as difficult,about the same,5,4
Learning how to use pandas to wrangle and clean data,Comprehension quiz questions are often unclear ,somewhat easier,about the same,2,3
"I have enjoyed the new concepts and learning more about Data Science in general, since I had no experience with it.","Probably the stats part, but that is just cause i'm a bit rusty with my math.",about as difficult,about the same,3,5
The pacing of the course as well as the availability of pre-recorded lectures has made the remote experience much smoother in my opinion.,I think it would be nice to have a stricter guideline on the final project. Small weekly check-ins would be helpful so that the lecture material and the final project would line up better.,somewhat easier,about the same,3,4
"I have found the lectures to be very concise and informative, and I like the idea of the lecture quizzes because it gives me an incentive to stay on track.","I dislike how long the Python notebook lecture videos get; the 30 minute video duration is a bit daunting, but I understand there's probably not much to be done about that.",way easier,about the same,2,2
Using jupyter notebook to test out functions and concepts we introduced in lectures.,Sometimes the code in lectures are not explained in details.,about as difficult,about the same,2,4
"Really enjoy the small lecture with review quiz format, as they continuously stay engaged with a class but in a way that is not overwhelming and very easy to digest. ",Lecture could move a bit faster and cover more advanced content (though I expect this to improve over the second half of the course now that we are done with all introduction/review),somewhat easier,somewhat less,1,5
I like how lectures are pre-recorded so I can watch it any time. I also like how each lecture is divided into a few smaller video based on the topics.,"Even though we are will get 20 free points on quizzes, it still gets me stressed because some questions are tricky. The homework assignments are a little challenging but doable.",about as difficult,about the same,2,6
"Having quizzes to go along with the lectures forces me be caught up with all lectures, which I enjoy!",Discussion sections have not been the most helpful,somewhat easier,about the same,5,6
I enjoy the video formats and being able to follow along on the Jupyter notebooks. ,"The timed quizzes, don't really the timed part. ",about as difficult,about the same,1.5,4
Got to learn about how to deal with data and get the useful information from it,The time for each quiz is a bit tight.,somewhat more difficult,somewhat more,5,20
The teamwork,,somewhat easier,about the same,1,3
Learning about the usages of python packages has been really cool. ,Watching videos and taking quizzes constantly has not been too enjoyable. But this is mostly due to the situation so nothing to do about it.,somewhat easier,somewhat more,2,3
Learning about python libraries and their uses.,The required quizzes are sometimes difficult as some questions aren’t worded very well.,somewhat easier,somewhat less,1,3
The interactive Jupyter Notebooks for learning ,The remote learning :(,about as difficult,about the same,6,8
I like the depth of explanation. I've taken other data science/statistical classes but some of the explanations here make more sense to me. Instructors are more active than my other classes,I'd prefer a way to check what our assignments look like turned in.,somewhat easier,about the same,2,5
"I really enjoy the lectures. I really like having the prerecorded lectures with the quizzes, because it holds me accountable and makes sure I understand the material. I like that the lectures are straight to the point. The shorter videos are better, because I am able to fully pay attention.","I have had issues coordinating with my group, but hopefully that gets better throughout the quarter. ",somewhat easier,somewhat less,1.5,5
,,way easier,way less,2,1
Online lectures are pretty good and remind me of podcasts from cogs9. Having notebooks for class materials and past final projects have been helpful as a reference. Datahub is really convenient to use and I think all the assignments have been very fair and accommodating so far.,"I would prefer if this class covered a smaller variety of topics but spent more time on them. 
Coordinating with team members on the group project is really difficult and the instructions for the project proposal were really vague which didnt help much. Extending the deadline for quizzes by a couple hours would be helpful",about as difficult,somewhat less,1.5,4
thinking of a project with my group to do for the final project,,about as difficult,about the same,2,3
I really like how the lectures have been split up into small videos and quizzes. I actually find them quite fun and definitely convenient since I can do them whenever I want!,Learning how to use GitHub and the whole repo/pushing/pulling/getting stuff to appear on my local versus remote desktop. I find all of that very confusing and I installed GitHub desktop but I still don't know how to make the group project repo appear into my repo under my GitHub username online (so I've just starred it for now). I'm confused are we using command line (and how to make that work) or desktop or.....?,about as difficult,somewhat more,2,2
"The coding aspect of it, I like learning python ","The statistics aspect of it, I’ve never enjoyed statistics",somewhat easier,about the same,1,6
The content is engaging and has many useful applications.,,about as difficult,somewhat less,2,3
Figuring out how the PA should work,Writing proposals,about as difficult,somewhat more,3,8
I really like that Jupyter Notebooks makes it so that I do not have to download other software to complete coursework. It is difficult for me to do coding on my own computer and I appreciate the fact that all of the necessary tools are already supplied for us.,Class isn't interactive/lacks the realism of an in-person classroom. I know that this is something that cannot be helped because of the pandemic but I do feel that my learning and retention aren't as strong as an in-person class. I miss the feeling of a live classroom.,about as difficult,somewhat less,1,4
I really like that all of the lectures are pre-recorded because we can do everything at our own pace.,The hidden tests in the homework assignments have been tricky to navigate. It's difficult to troubleshoot code when you don't receive feedback about whether or not your code passes every test.,about as difficult,about the same,3,7
"flexibility and the content is fun, exciting and useful.",Sometimes the given time on a quiz is short/not enough. 1 or 2 minutes more would be nice.,about as difficult,about the same,3,5
"Being able to do some python programming stuff has been cool, because it’s not as stressful as last quarter when I took DSC 10. Haha. I also like how the class feels so light in terms of workload, but I still am learning a lot! ",Video quizzes sometimes make me nervous haha ,somewhat easier,somewhat less,3,2
I like the assignments  on Jupiter Notebook and the easy- to-follow videos.,Probably how the assignments are tested. I would like to know when writing my code if the code works or not rather than having hidden test cases.,about as difficult,about the same,1,1
the project proposal,the time limit on the quizzes,somewhat more difficult,somewhat more,3,7
Learning to collect data and creating graphs,"Too many assignments, on top of the final project.",somewhat more difficult,somewhat more,4,12
The online classes and individual project. I don’t really have to be present in class and I don’t prefer group meetings at all,Some confusion regarding activities like assignments. The quizzes are reflection of class but it’s better to limit to one big quiz for each day rather than splitting up ,way more difficult,way more,3,3
learning the details of data science and best practices,The work. I have a lot less motivation working from home. ,somewhat easier,somewhat more,1,2
Demo videos,Project proposal was kind of a hassle because everyone has to use Zoom,somewhat easier,way less,1,4
The lecture format,The quizzes have confusing wording sometimes,somewhat easier,way less,1,2
The assignments. I feel like they are very helpful in learning the course material in a very reasonable way. ,The quizzes. Nothing especially dislikable about it but who does like quizzes? ,somewhat easier,somewhat less,1,4
Learning python and working with my group for the project,"The quizzes, as sometimes they ask questions that dont represent the content.",somewhat easier,somewhat less,4,8
Learning about data science and how it is practiced in theory and actually. It makes the profession of data science seem a bit more tangible.,"The first two assignments have been a bit tedious. Having learned a few languages outside of python, I find I learn best when given a problem that needs a solution. As opposed to trying to remember functions for individual packages one at a time. I guess you have to start somewhere though.",about as difficult,somewhat more,1,7
The ability to watch lectures all in one day. ,Quiz questions are sometimes ambiguous.,about as difficult,about the same,3,4
Short youtube videos,Quizzes due the same day of lecture.,somewhat easier,about the same,2,3
I like the structure of the lectures. ,It would be helpful to see what I got wrong on the reading quizzes. ,somewhat easier,about the same,2,2
The conciseness of the videos. I think the videos are very high quality and I actually enjoy watching them.,Nothing,somewhat easier,somewhat less,1,5
Labs on Datahub,,somewhat easier,somewhat less,0.3,0.75
Cannot decide yet,The reading quiz. I don't like it at all,about as difficult,about the same,3,3
"The visualization part taught, since it's a useful technique.",Some answer options of the attendance quizzes are a little too misleading.,way easier,about the same,3,4
the lectures! The information shared in this class is very interesting to me. ,"The quizzes. I think having just 1 attempt for the quizzes puts some stress on us students. We are all trying to get a good grade and the quizzes are a way to make sure we watch the lecture videos and have a grasp of the material. But believe if we were in a class setting and these questions were given as iclicker questions, we probably wouldn't be graded on them like we are now. I think if we were given multiple attempts for them we would be able to learn from our mistakes hence having the material stick in our heads better. ",about as difficult,about the same,3,4
,,way more difficult,somewhat more,5,1
"Yes, I really like the introduction to pandas, and the coding analysis.","It seems like we are trying to cover everything, but for everything we do not go deep. Sometimes I am a little bit disappointed because a topic that I really love suddenly end... ",way easier,way less,1,4
The assignments ,I seem to miss some points on the quizzes and I'm worried that the 20 point leeway might not be enough. ,somewhat easier,about the same,2,3
I like Professor Ellis’s style of teaching. It’s concise and clear. ,,about as difficult,about the same,1.5,2
"The easy quiz,short lecture",Nothing really,somewhat easier,somewhat more,2,2
The assignments are released long before the due date,The content quizzes give me a lot anxiety since it is only 1 trial. A lot of times I feel like I have known the material for the lecture but the question asked is vague and implicit.,about as difficult,about the same,3,3
"The lecture videos and corresponding quizzes. I really appreciate that the professor breaks up each topic into its own video, so if I am struggling with something I can just refer back to a quick video, rather than an entire hour-long lecture. Also, the Jupyter Notebooks included with the videos have been super helpful to see examples of exactly how to use the code to get desired results. I learn best by referring to these examples.","Working in a group project through zoom. Even though we were allowed to choose our group members, I didn't know anyone in the class so I everyone in my team is new to me. I am learning very quickly that if I don't keep everyone on track, we could easily fail the project.",somewhat more difficult,about the same,4,10
Developing our final project by finding an interesting question to explore and potential datasets that could help us answer the question.,"The coding assignments are my least favorite because of the fact that they implement hidden tests that you can't see so you have no way to telling if your code is entirely correct. I would perform the format where all of the tests are available to run and when we are finished with the assignment, we can see our final score based on what tests passed. In the real world, there are no hidden tests when we submit code so I don't really see a point to having hidden tests. ",somewhat easier,about the same,6,8
"I've enjoyed how learning about python is very applicable to real world applications, like plotting and cleaning data, which can be used in just about any field. ","A lot of the graph stuff is review to me (linear regression, mean vs median, etc.) so sometimes the pace seems slow.",somewhat easier,about the same,2,3
"I enjoy COGS 108 for learning how to program in Python. I learned about it in high school, but kind of forgot most of it. Now I know that Python is not only good for writing GUIs, but also good for analyzing data. ","Video quizzes, because I feel like sometimes the questions are too vague, which means it seems like there exists multiple correct answers. Also, sometimes you can pick multiple answers, but there is actually only one correct answer. ",somewhat easier,about the same,3,5
Lectures,Project,somewhat more difficult,way more,10,4
"Reviewing the whole process of doing a project, since it helps my classes which are required projects","Overall good. Need more instruction for the details of the project. For the project proposal, it only contains several sentences for each part. We did not know how much information and explanation should be included to meet the expectation for each part.",about as difficult,somewhat more,4,18
Data analysis using pandas. I think it is so cool and so helpful,"Homework. It doesn't have that much of connection with the lecture, so it is hard.",somewhat more difficult,about the same,3,2
"Recorded lectures to watch at out own pace, well-made notebooks",,somewhat easier,somewhat more,1.5,7
Overall the whole subject I knew nothing about data science going into this course ,The quizzes that are only one minute per question I get extremely nervous so I over think even tho I have notes ,somewhat easier,somewhat less,22,8
"The easy to access lecture notes/videos, and notebooks",The looming grade changers that are assignments and the final project,about as difficult,about the same,2,1
"The course format (videos + quiz). Having it broken down into smaller segments with feedback quizzes really helps me with retention, and keeps every video focused in terms of content matter.","The organization for the group project: in my experience, the priority of finding a group was more important than the subject matter of the question. Might be nice to be able to group people into categories for searching, such as ""these people are interested in doing a project about sports"", or ""these people are interested in doing a project about video games""",somewhat easier,somewhat less,1,3
Prerecorded lectures that I can watch on my own time and pause to take notes whenever I need,"The assignments require alot of documentation reading, online search, and teaching myself since the lectures are more conceptual and give a general overview. ",somewhat more difficult,somewhat more,5,7
I like that I have been able to learn how to use GitHub and also like the lectures on how to manipulate data. I took a statistics course last quarter and it is also nice to see all those practices I learned being used in data science.,I am just struggling with the understanding of Python.,somewhat more difficult,about the same,5,3.5
I like how well it has been adapted for online learning. The lectures are well put together and clear. I'm also enjoying getting some more experience with Python.,"Some of the quiz questions have been frustrating. I watch the videos thoroughly, but of course I don't remember every detail since I learn a lot more effectively by doing assignments and projects. I will remember the broad concepts of the video, and will remember some specific and technical things that stand out to me, but will miss others. Anything that I miss, I then learn and actually remember once I use them in practice. There have been 2 or 3 questions over the last 2 weeks or so that I felt are hard to answer after only watching a video, so overall it's not a big deal considering the grading scheme, but it is frustrating when I come across them.",somewhat easier,somewhat less,5,5
Doing the assignments and simply learning about what data science is has been interesting.,Nothing I really don't like.,somewhat easier,somewhat less,1,3
What I enjoyed most about this course was watching the lecture and grasping the information. Having the quizzes are helpful because it allow me to engaged in the pre-recorded lecture and be responsible. ,,about as difficult,about the same,7,5
"Assignment 3, as it begins to introduce important statistics and data science concepts","The video quizzes. They go too fast and imo, do not reflect knowledge best.",somewhat more difficult,somewhat more,2.238795482,1
Jupyter Notebooks (Practice and Assignments),Video quizzes,about as difficult,about the same,2,4
Lectures ,Assignments,somewhat more difficult,about the same,10,8
I like the pace of how the videos are as well as the length since some of these topics are relatively abstract and difficult to learn for the first time.,,somewhat easier,somewhat less,1,6
"I like how all the lectures are very digestible, bite sized, videos that we can watch by topic.",I feel a bit lost on how to go about working on my Final Project.,about as difficult,about the same,2,3
"I have enjoyed talking to my new group members, and some of Professor Ellis's funny moments in her videos.",,somewhat easier,about the same,4,4
I have enjoyed learning about how to use Pandas in detail and learning the different types of graphs and how to customize them,"I have least liked how some of the reading quiz answer choices (for the multiple selection ones) seem a bit ambiguous, but overall I think the quizzes are pretty fair.",somewhat easier,somewhat less,1,3
Learning about the best practices in data science step by step.,,somewhat easier,about the same,1,4
