enjoyed_most,enjoyed_least,difficulty,time_spent,section_attendance,helpful_materials
the assignments,the group project,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Assignments
"The lectures are honestly super interesting and a very helpful refresher of stats concepts for me. The things we learn are very applicable to a lot of the work I'm doing outside this class, which makes it very enjoyable!","Sometimes the homework takes me longer than I anticipate, but I think that's more of a factor of me still learning Python as I go.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments"
The different python libraries that are used in Data Science. ,The required randomness with the group assignment selections. ,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Group Project, Piazza"
The assignments are fun,I generally dislike group work but it hasn't been bad,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Piazza"
I enjoy learning python and data science related functions/ packages ,"I do not like the group project. I think our idea is doomed and has no answerable data, but we've already gone ahead with our project proposal and have started working on it. I wish we got to choose groups like they did last quarter and instead there was an option if you wanted a random group assignment.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Learning how data science applies in practice/real world,Not much as of now,somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Piazza"
The friends that I got to meet.,The amount of information that we have to remember.,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,Assignments
I've enjoyed working with my group as well as challenging myself with Python by learning the various libraries and how to use them. ,I've disliked the lack of guidance or instruction for the group projects. It would be nice to have access to the project rubric to make sure we are meeting all requirements. ,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
Working with real world data,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project"
The learning of tool that can be used in the future,Hard grading on project proposal. 3 percent grade lost because rubric was unclear.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Assignments, Group Project, Office Hours, Piazza"
Yes I did.,The lecture go through things in a quick pace. The group project is also hard for me because it is hard to meet with all groupmates; everyone's schedule is full.,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Piazza"
I have enjoyed the assignments because they have given me hands-on practice of python and coding in general.,"I have liked least the large of amount of material we are covering in lecture, mostly because I don't have a background in python or data science.",about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Office Hours, Piazza"
The concise lectures and mastery of the subject materials from Prof. Ellis.,"The lack of weekly communication from my group members has me worried, hopefully incorrectly, I'll find out.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments"
The assignments,Nothing really,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
,The professor focus too much on statistics and spend insufficient time in coding,about as difficult as my other courses,somewhat more work than my other courses,I attend section occasionally,"Lecture, Assignments, Group Project"
I have really enjoyed doing the case studies in class because I feel like we are able to really work through the whole data science question practice.,The only thing I don’t like is the professor’s pace. She talks a little too fast but I just rewatch the podcast later which helps a lot,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Piazza
"I like doing the assignments, makes me feel like I am really doing something","I like having groups, but I wished it was more structured, since I do not have experience in data science projects so it hard to gage what needs to be done",about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
Everything,Project proposal. The instruction and rubric is not clear enough,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
"I enjoy the assignments, they're challenging yet rewarding",:),somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
"The Assignments! It really helps me actually apply what we learn in class and is very well explained, unlike other CS courses I've taken here.","I can't really think of anything, other than the class is only 10 weeks long.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
The jupyter assignments,Lack of hours and help,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
The handson assignments,Working in a group with people I don’t know,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Piazza"
"assignments, they are really good practices and helps me with understanding the course material",The lecture pace is a bit too fast,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Piazza"
,What I have liked the least of COGS108 is that I have had trouble with the assignments since I came in with a matlab background and not a python background. So basically not knowing the language has been tough. ,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Piazza"
"Doing the assignments. I feel the assignments are well-designed to help use understand the material went through in lectures. After doing the assignments, I can see how I am going to implement the skills in my project.","For now, everything is fine except the fact that I got stuck in part 3g in A3. Cannot pass validation no matter how and the assertion error is not helpful either.",way easier than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Group Project, Piazza"
,,somewhat easier than my other courses,way less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
I have enjoyed the freedom with the final project. The fact that there are very few guidelines makes us feel not tethered to any rigid format as we might feel when writing essays or specific programming assignments.,"Thus far, the assignments have felt a bit disconnected from lecture. We learn something in lecture one week and don't get to exercise the skills until a week or two later. I think this is due to the bi-weekly deadlines which is nice but creates a bit of delay for the concepts.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Group Project, Piazza"
The programing assignments are interesting. ,The proposal for group project. The instructions and rubrics are not clear enough. ,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
The classes helped me a lot. I enjoy every class. It’s not tough but I learn much more practical things than those difficult classes.,"For the first EDA, Since I knew little about American politics, I am confused about the nouns that I encounter during the class, maybe it’s because my fault, since I finish I previous study abroad. Actually when I discuss with the local students, they seem also confused and google a lot. However it was not such a big problem and I can still understand the whole thinking process.",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments"
,,about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Office Hours, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
,,way easier than my other courses,way less work than my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
I have enjoyed the project so far and learning python through the assignments. I was lucky with my group in that we're working well together so far and I am hopeful we will have a successful and exciting project. I also enjoy learning how to use python in data analysis because it is the language used by many bioinformatics researchers and therefore helpful to my long term research goals.,"I don't gain very much through the lectures just because I feel like most of the topics discussed are about practicing experimental design which I am proficient in via teaching biology experimental design and my own research. However, it is nice to have it explained explicitly and reminded of all considerations that are needed for data analysis.",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Section - Assignment Help, Section - Workbooks, Assignments, Group Project"
"Learning how to use github and pandas, etc.","I don't enjoy working with my group. Also, I don't like how the assignments are graded. I wish they reflected my understanding of the logic, rather than if I wrote every line exactly how it's supposed to be written. I think more holistically graded assignments, where the end product is graded, would be better for me.",about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,Assignments
learning data science in practice ,groups. it's hard to get agreement from everyone and it wants a lot of time.,about as difficult as my other courses,way more work than my other courses,I attend section occasionally,"Section - Assignment Help, Assignments, Piazza"
No midterm,Too many case studies. I think the lectures where you taught us actual coding is much more useful,somewhat easier than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments"
I enjoy the practicality of the assignments,Too much case studies. I would like more learnings on direct codes,somewhat more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Office Hours, Piazza"
"Assignments, because it walk me through on basic python. Since I have no experience with python before, use pandas, numpy, etc help me a lot. ","Randomly assigned group, I don't like to work with people that I didn't know before. And I didn't get a chance to know what their skill set are to work with me. This causes a lot issues and inconveniences.",way more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),Assignments
Ues,None,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Workbooks, Assignments"
"I think the topics and examples that are discussed are interesting, especially since the examples are topics that we know about.","the speed of the class - I feel like the professor talks really fast and goes through the slides really quickly, sometimes I haven't even looked at the slide and we're already on the next slide. so please go slower :)",somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Piazza"
The assignments are not too hard,The internet in the classroom is horrible.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project"
Lecture,Case Study,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
Group working,None,about as difficult as my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Assignments, Group Project, Piazza"
pretty good,pretty good,somewhat easier than my other courses,somewhat less work than my other courses,I attend section occasionally,Piazza
The assignment have been interesting,"Though I do like my group partners, planning a meeting time was extremely difficult as we realized the group assignments were based on topic of interest rather than availability.",way easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Group Project"
,,about as difficult as my other courses,about the same amount of work as my other courses,,"Lecture, Assignments, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Office Hours, Piazza"
Extra Credit Lectures,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Piazza"
The assignment part. ,Group project,somewhat more difficult than my other courses,way more work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
Being able to go at my own pace for assignments,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Piazza"
Learning how to make data visualizations with code,Class structure would be more effective if hands-on? Or if I had an incentive to take notes and retain information actively instead of referring to class lecture files/slides,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Office Hours, Piazza"
projects,assignment,somewhat easier than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Group Project
Learned different new  data science techniques,eh,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
I admire the instructor's organization and passion,It's too independent; taking only one python introductory class and having actual projects given my whole group feels lost. A2 took me a week while some CS students took 5 minutes to complete. I had to google 90% of the codes A2 was asking for. It was just to complete at one point and submit. Working in a group made me realize some people know more about coding while others don't have experience at all and that leaves the workload on mostly the ones who know coding the most or have the most leadership skills. ,somewhat more difficult than my other courses,somewhat less work than my other courses,I attend section occasionally,"Office Hours, Piazza"
,,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,Piazza
I enjoy learning python the most.,"Not being able to pick my own teammates, but I understand the logic behind it.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments, Group Project"
Thinking about how to analyze and answer real world questions.,I have liked everything so far.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Assignments"
I enjoy how the lectures are set up and how easily we can follow along in class (Jupyter notebooks).  ,,way easier than my other courses,way less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments"
Interactive lectures are fun,Clickers can be annoying,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments"
The assignments are very helpful to understand the course.,,about as difficult as my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Piazza"
I have enjoyed the assignments. It is fun figuring out how to use all the different Python methods.,I am not enjoying the group project. I am having trouble contributing because I have less experience than my peers.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Assignments, Office Hours, Piazza"
"I enjoy the amount of resources and clarity from github, lecture, and piazza.",None,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Lecture
Doing a music-related project.,Working on a project with a group. I dislike group work because the process is out of my hands and I don't deal well with arbitration.,about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Section - Workbooks, Assignments"
Everything learned in this course seems extremely practical and can be helpful in fields other than data science.  This course has been very helpful for my other classes such as COGS 118a.,"While I understand why the Case Studies exist, I feel like the pace of these lectures are much slower than they need to be and the attitude of the class seems very indifferent to these case studies.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Assignments, Group Project, Piazza"
"My favorite part about this course so far is exactly what this course is about. I really enjoy seeing practical applications of data science in the real world, and learning the tools of how to conduct my own analysis.","In some of the programming assignments so far, despite going to every single discussion, I still feel lost and have to seek additional help.",about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments, Office Hours"
I enjoy learning about python.,I don't like the COGS108 project.,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Section - Workbooks, Assignments"
I enjoyed learning python,group project,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
Free ECs by going to lectures,Having to work with other people I do not know.,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
"Really interesting case studies in class! Also, the HW has been useful and has helped me build my Python skills. ","Not as much structure for the group project (ie: no weekly deadlines), so it's easy to fall a bit behind on it.",about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Piazza"
Learning python. I've always wanted to learn python so I enjoy doing the assignments because I learn how to use python.,"Not choosing partners in group project makes it really difficult to meet up. Normally for group projects, people could choose people in the same college which would make it really easy for the group to meet up. However with random assignment there is a mix of on campus and off campus people who will have barely any time to meet up. ",about as difficult as my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
,Assigned groups. I enrolled in the class with a group of friends under the assumption that we’d get to work together as in previous iterations of the course.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
Learning to code again!,My group and I feel lost on the final project.,somewhat more difficult than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
Learning to code again!,My group and I feel lost on the final project.,somewhat more difficult than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
Easy to follow Lectures. Assignments are great!,The sections are not that engaging. At least my discussion section.,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments"
I actually really like the homework assignments. Coding in python is fun!!,5 people in a group. It has been really hard to get everyone in my group on the same page and to all find a time to meet at the same time. Smaller groups would be nice (3-4 people),about as difficult as my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Lecture, Section - Workbooks, Assignments, Group Project, Office Hours"
Learning about coding in Python!,My group and I feel lost about the final project.,somewhat more difficult than my other courses,somewhat less work than my other courses,I attend section occasionally,"Lecture, Section - Assignment Help, Assignments, Piazza"
I like the assignments that we are doing especially the group project one. It really applies what we are learning in class and gives us the freedom to do it on a subject that I personally have interest in.,I think the lectures are a little fast. As someone who doesn't have too much coding experience sometimes I don't really truly understand what is going on in class or how to work on the assignments.,way more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Office Hours"
I like being able to apply what I learn in class to real topics and issues,,way more difficult than my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Assignments, Office Hours, Piazza"
Talking to people in class,Github,somewhat easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Lecture, Section - Workbooks, Assignments, Group Project"
Collaborating with peers,Length of assignments ,somewhat more difficult than my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Lecture, Office Hours, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Piazza"
What I enjoy the most is the fact that she gave lots of examples making it us understand a lot easier.,Sometime the lecture is going kind of fast.,about as difficult as my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Assignments, Group Project, Office Hours, Piazza"
Learning a bit of data analysis.,"I don't have a good python/coding background so the lectures are too fast for me. But at this point I can still finish the homework following the instructions, but the lectures are so difficult to follow (even though I know they are too easy for those data science/cs students).",somewhat more difficult than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Lecture, Section - Assignment Help, Section - Workbooks, Assignments"
,,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Section - Workbooks, Assignments, Piazza"
The hands-on experience of doing a project with full freedom. I’m a project oriented person and enjoy the learning process of doing a interesting project from scratch.,Lectures are boring. ,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
"Coding, its an interesting challenge using a language I've never used before.",,about as difficult as my other courses,about the same amount of work as my other courses,I attend section occasionally,"Assignments, Group Project, Piazza"
,,about as difficult as my other courses,somewhat more work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Lecture, Section - Assignment Help, Section - Workbooks, Assignments, Group Project, Piazza"
,,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project"
"The material is relatively straightforward and if you have questions, there are a lot of resources to go to. ",Some portions of the assignment are difficult to understand but it is probably because the assignment is helping students work harder to solve the problem. ,somewhat easier than my other courses,about the same amount of work as my other courses,I attend section occasionally,"Lecture, Assignments, Office Hours, Piazza"
The efficacy of assignment allocation is nice.,"I'm finding it difficult to actually do the assignments, but that's because this class assumed previous knowledge.",somewhat more difficult than my other courses,about the same amount of work as my other courses,I do not attend weekly sections,"Assignments, Piazza"
No attendance required.,We could not choose teams for final project.,way easier than my other courses,way less work than my other courses,I do not attend weekly sections,"Assignments, Group Project"
"I really enjoy doing the assignments because I can learn how to use those useful python tools to analyze data. I feel become more experienced to become a ""data scientist""!!!","I hope we can form our own project group rather than being allocated because if we group with our friends, we know better with each other and will be more confident when doing the project.",somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,"Assignments, Group Project, Piazza"
Assignments. I like being able to test my python and data scraping abilities.,"Grading for assignments. For the first assignment especially, some of the edge cases felt extremely unexpected given the description; it didn't seem like the edge case was encompassed by intended functionality that you described.",about as difficult as my other courses,somewhat more work than my other courses,I attend section regularly (almost every week),Assignments
iclikers (for extra credit),"Professor was going too fast, it's getting better recently",somewhat easier than my other courses,about the same amount of work as my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments"
The assignments are closely related to what is discussed in class. This helps reinforce learned material.,Lectures are very boring and don't hold my attention.,somewhat easier than my other courses,somewhat less work than my other courses,I do not attend weekly sections,Group Project
The class is easy and what Prof.Ellis wants to convey is clear. I learned a lot about how to construct a data science problem.,Everything goes well.,way easier than my other courses,somewhat less work than my other courses,I attend section regularly (almost every week),"Section - Assignment Help, Section - Workbooks, Assignments, Group Project"
