enjoyed_most,enjoyed_least,quiz_number,quiz_questions,a1,a2,proposal
The lectures are very insightful,The A# have been rather tedious so far,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,3,2
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,5
Doing assignment is much more interesting than I thought.,,There should be a couple less.,I wish they were more straight from the notes/videos.,4,6,3
Splitting up the lecture videos into parts. Makes it easier to digest.,The assignments are a bit long.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,2
"I've enjoyed being able to learn the basics of pandas, since the jupyter notebooks are already set up it makes it a lot easier to get started and learn how to do things","I dislike the style of the lecture quizzes, mainly how there's only one attempt. It's adding additional stress to the course that I don't think is necessary, because it would be nice to be able to watch the videos without having to worry so much about performing well on the quizzes. ",The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,2
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,4
I like the videos and the assignments,nothing really to hate,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,3,5
The Jupyter Notebook lecture videos because they thoroughly explain and go through the entire notebook and allows us to understand the code better for when we do the homework.,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,5,4
"The various Python packages and tools, including pandas, numpy, seaborn, etc.",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,8
Asynchronous lectures: it is much more convenient and easier for me to learn when I can watch the lectures at a time when I am ready to learn,"Pressure on the quizzes; sometimes the time limit feels too short, especially for questions such as the ones asking what graph would be the best choice for a given situation",The number we've had is about right.,"I think some of the questions are too specific to the video. Especially for some of the questions earlier in the quarter, they went over a lot of concepts that I already knew from previous classes, but if I didn't remember specifics from the videos I could still do poorly on the quizzes",1,2,1
The hands on experience it has given me. The lecture notebooks are also a good way to learn,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,2,4
"The assignments are interesting and learning how to organize, arrange, and clean data(sets?) with python is relatively fun. ","The quizzes are a (very) tiny bit anxiety inducing. Although I put my focus on the videos, the quizzes make me question myself quite a bit, especially when there are select all questions where some answers cause me confusion. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,6
The statistical lecture because it taught me to better understand the realistic meaning behind the numbers/data. ,"More coding tutoring (supplemental materials) is needed because I don't have a strong background in python, so it took a longer time for me to try out and process things. ",The number we've had is about right.,Sometimes the wording makes the questions a bit difficult to understand. ,8,8,35
The topics covered in class is interesting. ,I guess the assignments since a lot of it we have to figure out on our own so a question can take a long while to solve. ,"Normally it is fine, it just sucks when there are only two questions and you get one wrong. ",I think they've been fine generally and would keep them as is.,5,6,7
The programming aspect of it.,Nothing.,There should be a few more.,I wish they required more depth in thinking/critical skills.,8,10,3
The clear and concise lectures,I like everything about this class,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,2,2
the assignments,taking content quizes ,The number we've had is about right.,I wish they were more straight from the notes/videos.,5,4,2
Everything is super clear and instructive. I learned about more specific details about topics that I've learned before. The arrangement of class content and time is good.,The week1 quizzes are tricky.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,2
Working on final project with my teammates,,The number we've had is about right.,I wish they required more depth in thinking/critical skills.,2,2,4
I like the lecture and quiz format. I find it easy to follow along and the quizzes are really straightforward. ,"The main project. I posed a question that I found interesting and did background research, but since turning it in, you have discussed predictive analysis and text analysis. I want to try these out in my project, but I don't know if I can change. I kinda wish there was a slack or piazza channel for the people doing the individual projects to discuss. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,5
Getting to learn about pandas and learning to code with it.,N/A,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,4,4
I have really enjoyed the assignments because it has allowed me to work with different python libraries.,The daily quizzes are probably what I like least about the class because some of the questions have been a bit ambiguous. ,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,6
"I'm a big fan of the structure of the course so far, it's the most ideal situation in the ongoing pandemic. Great Work Everyone.",Nothing worth noting,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,2.5
I enjoyed learning the graphing techniques since we don't usually learn them from other classes,Answering quizes,The number we've had is about right.,I wish they were more straight from the notes/videos.,1.5,3,4
I like that every course material is on GitHub,I wish have more explain on the code part of the lecture.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,4
"Learning new pandas functions, I knew python but I didn't know dataframes very well.",,There should be a couple less.,I think they've been fine generally and would keep them as is.,1,1,2
The lectures are super helpful and easy to follow,,The number we've had is about right.,They're pretty good but sometimes I think the select multiple are meant to trick us.,5,7,3
Learning how to do assignments by using google and lectures.,Group Project work,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,4,1
classes are organized,"Don't have a lot practice, I think I will forget things fast.",The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,1
I have been enjoying the assignments and the project because I can practice what learned in lectures into real practices using programming. ,"Some questions in quizzes are not so straightforward, and having only one attempt and limited time can be stressful.",The number we've had is about right.,I wish they were more straight from the notes/videos.,0.5,1,3
Learning how to analyze data using Pandas,Feeling unconfident in my final project group,The number we've had is about right.,sometimes the wording is confusing/vague,7,7,4
"I really like the flexibility of the course and the relevance of the material. The lectures are very informative but not overwhelming, so I can easily understand the topics covered and why they are important to learn. ",,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,2
Practical homework assignments,Vague participation quiz questions,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,3,2
The interactive Python lessons are really helpful.,There is a lot of Python I need to learn.,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,2,2
"Learning python, and how to apply this to real life situations!","sometimes the videos each week take me a while because I like to take notes, and the quiz questions are sometimes unfair since there could be multiple answers.",The number we've had is about right.,I wish they were more straight from the notes/videos.,8,5,3
I really like the concepts we learn and then applying them to the assignments,The individual project proposal was challenging for me since I knew nothing about the data set so it might have been nice to know that my question was at least a little bit more on track,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,6
"The project concept, we have an idea to simulate baseball games to create data to compare to answer our question and I think that it will be exciting to develop.","The quizzes for each lecture. The quizzes are very difficult and I have lost a lot of points because of how specific they are. I think that if they are truly trying to gauge our understanding of the lecture we should have two or three attempts on each quiz. After submission we should be able to see which we got correct and which were wrong, not the correct answers. Then we should have the opportunity to retake it. I understand that we can miss points on the quizzes and still earn an A in the course but it should not be this difficult to earn these points if you just want to make sure we watch the lectures and understand the material.",There should be a way less.,They are way too difficult and should be less specific,1,2,5
The lecture style in broken up into pieces. I love it so much.,"These EC surveys! This is the first one I've done, for some reason I didn't know about them until now. Prob missed a lot of free points!",give us the answers after and ask good questions that matter,I wish they were more straight from the notes/videos.,1,1,3
"The lectures do help with the assignments, and I like how they are clear and concise.",Not much; Professor Ellis has been doing a great job so far. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,7,8,2
I enjoyed the PA the most because they have been teaching me the most about pandas and python,The final project because I dont know how it will turn out,The number we've had is about right.,I think they've been fine generally and would keep them as is.,6,10,10
I have really enjoyed learning about Data Science as a whole. Learning about how to use the different pacakges,"What I like least is probably the quizzes. I feel like there's a lot of quizzes, and while most of them are  not hard, there a few that I felt weren't really supposed to be taken right after watching the lecture but instead meant to be taken after I have had practice with the concept",There should be a couple less.,I wish they were more straight from the notes/videos.,2,2,3
doing the jupyter notebooks to get hands on experience and also the advice about securing jobs,some lecture quiz questions are too difficult,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,4,3
"having the mix of videos, quizzes, assignments, and EC",more structure for the group project/more support from TA/IA's,There should be a couple less.,I wish they were more straight from the notes/videos.,4,2,6
I've mostly enjoyed how this course has given me a new perspective on data and a greater appreciation for it. Each video and assignment has shown me how I can interact with data in order to answer an interesting data science question. I also really enjoy how we're going over inferential statistics this week because I love statistics. ,"I guess I find the Jupyter notebook videos very dense and technical, but they're supposed to be that way and are helpful in completing assignments as a result. ",The number we've had is about right.,I think they've been fine generally and would keep them as is.,6,8,10
I've enjoyed learning about how you can gather information and sort through it to find different information like going through columns to find any null values and altering information in a way that helps me analyze it. I also like the pacing with the datahub assignments.,"The thing I like least about COGS 108 so far is that it stacks on top of my COGS 109 assignments and the only other coding-based class i've taken is COGS 18 so I can feel a bit overwhelmed with learning how to do things sometimes. But with the class itself, I actually enjoy it a lot!",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,1.5
"I really appreciate the lectures. I mean this in the best way possible, but I love that the lectures are designed as if they are for elementary school kids :) - basic, from the foundation, and straight forward. A lot of classes at UCSD, even the intro classes, sometimes just assume that we know X amount of information. I've also had professor's explicitly say they don't care if we don't like the method in which they're presenting the lectures or they ""don't believe in visuals"", etc etc. I've found this class engaging, exciting, and encouraging. ","I feel like there is a slight disconnect from our final project and the class itself. I understand that we are learning the tools we need for our project in lecture, but I don't feel like we can immediately apply these specific learning points in such an open-ended project. Maybe it would be helpful to have weekly project goals connected to the weekly lecture content.",The number we've had is about right.,"I get caught off guard when the questions in the quizzes ask about what we are doing in this course specifically. ""like in this class, we...."" I'm usually focused on absorbing the new content itself and not what is expected in this class.",4,3,3
Brainstorming in a team setting,Lack of guidance in some of the homework where syntax is very specific,The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,3
,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,4,8
"I have enjoyed the homework assignments on Jupyter notebooks because they let me go at my own pace, and I can stop/resume at any time. I enjoy learning new techniques on how to access different parts of the data and how there's not only one way to do it correctly.","My least favorite part of the course are the video quizzes only because we only have one attempt. I appreciate the fact that we get 10 free points toward the quizzes, but maybe with multiple attempts we could have a better chance at getting 100% on the quizzes and not need the 10 free points.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,1,3.5
"the quizzes, because it keeps me on track , not letting me fall behind ",I enjoy this class,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,4
Learning about pandas ,Probably the lecture quizzes just because I get thrown on every multiple-answer question and miss it.,There should be a couple less.,I wish they were more straight from the notes/videos.,2,6,3
"I like that the class is asynchronous, which is better for me since I can't wake up at 9am and I like to do things on my own pace.","The quizzes. The quizzes stress me out since we have them every other day and there aren't many points to them, so if I missed one point, I basically failed the quiz. ",There should be a few more.,I wish they were more straight from the notes/videos.,5,5,3
"I enjoy being able to work collaboratively on a data science project because it provides hands-on experience with a topic we're interested in, which simulates what we would be doing in the workforce. ","The quizzes. I wish they weren't timed because I think I would do better on them given more time. While I am actively listening and taking notes over the videos, I do miss some details that are brought up in the quiz and I wish I had more time to go back and revisit that topic (especially if it is important enough to be covered on the quiz). ",The number we've had is about right.,I wish they were more straight from the notes/videos.,3,5,4
how you kind of have to do a little digging during assignments since not everything you need to know is in the youtube videos or slides/jupyter notebook. ,"I don't really like how quizzes have to be done the day of by midnight, because sometimes i have a hectic day with other classes, work, and other things",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,5,3
Having to do quizzes daily (or weekly depending on how you complete them) keeps me on track and helps me not fall behind in the course,Nothing,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,2
Learning Python and working with Pandas,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,2,2
,,There should be a couple less.,I wish they were more straight from the notes/videos.,2,4,2
The clear lectures and assignments which teaches me a lot about python. ,It is ok. Thank you!,The number we've had is about right.,I think they've been fine generally and would keep them as is.,1,1,3
The slides,Very rare but sometimes I feel like the quiz questions were more vague or had multiple interpretations for certain ones ,There should be a couple less.,I think they've been fine generally and would keep them as is.,1,2,7
The lecture videos are often short and to the point!,"I wish for the quizzes we had an additional try or at least deadline extended to Saturday because every quiz (besides Friday) has a few days to be completed, so it would make sense for the Friday quiz to at least have one day of leniency.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,1.5,1.5,2
being able to do jupyter notebooks alongside the lecture videos,the quizzes feel more of a requirement than an actual learning check ,There should be a couple less.,I think they've been fine generally and would keep them as is.,2,3,3
I enjoyed learning how to use pandas. I think A2 is very interesting because it mixes coding with data visualization. ,I don't enjoy working on individual project so far because everything is virtual and it is harder for me to ask for help. It also seems very intimidating to finish up a Data science project on my own without much coding knowledge and without in person help. ,There should be a couple less.,I think they've been fine generally and would keep them as is.,1,2,3
I've really enjoyed the various different questions we're able to answer by gathering information and data. It's fascinating to see how information lets us learn more about a certain topic.,"Possibly because of the COVID-19 environment, but I do miss the feeling of being in a legitimate lecture environment and having synchronous lectures, as it gives me more of reason to actually attend lecture.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,6,5
The lecture style,Quiz questions are too ambiguous,The number we've had is about right.,I wish they were more straight from the notes/videos.,0.5,0.5,1
,The PAs are a little bit challenging. I feel that lecture videos do not do a sufficient job in  preparing me for the PA,The number we've had is about right.,I wish they were more straight from the notes/videos.,7,9,4
I've enjoyed learning how to use pandas.,I wish there was a synchronous lecture at least once a week because it feels like I'm just self learning.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,4,4
The ability to watch lecture whenever throughout the week. Sometimes the flexibility helps.,"I feel as though I'm not encouraged to take notes at all. I find it hard to take notes in coding classes, but even here still with more concepts, I find that I don't reach for my notebook often to write down important concepts. This could be a me problem, though, because the slides do have bullet points that outline the lesson and what you're going to say.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,4,5,3
learning python and I am planning to do my own research with my friend.,"I know professor give us easiest quzzies, but I feel that the time is too short.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,2.5
PAs. Quick and painless.,,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,1,2
"Everything. How one goes about starting a data science project, learning the programming specifics (pandas, plotting, etc), how to ask specific questions, etc. ",NA,The number we've had is about right.,I think they've been fine generally and would keep them as is.,2,4,2
Learning how to collect and modify data via python,None,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,3,2
the class is organized very well,some quiz questions can be tricky,The number we've had is about right.,I wish they were more straight from the notes/videos.,2,3,4
The structure of Python being taught.,There is not too much help regarding programming like CSE with the tutor labs.,There should be a couple less.,I wish they were more straight from the notes/videos.,10,6,6
The thing I have enjoyed the most in COGS 108 is the structure of the lectures that allows for more flexibility in when we can watch and take the review quizzes.,I think that Python should be the only prerequisite for the course as opposed to Java. It would have been easier to start out with more comfortability in Python before starting the class.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,5,2,4
"Simple straightforward quizzes, which make it less stressful for me to worry about this quarter, especially during a pandemic. Also the assignments I do like since they are more of a walk through that teaches you as you go.",None of I can think of so far.,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,5,4
The super organized structure of the class,,The number we've had is about right.,"sometimes the questions are too trivial in my opinion, but most of the time they're fair",1,1,4
Group meetings to work on the Final Project.,Quizzes because a lot of the questions can be a bit confusing with the wording. ,The number we've had is about right.,I wish they were more straight from the notes/videos.,4,5,4
I enjoy learning about python and gaining the skills to do data analysis as I have never done it before but know it will be important skill to have as a Computer Science major. ,I think some of the questions have been frustratingly ambiguous every once in a while. 95% of the time they are good representations of the content in the videos but every once in a while the answer is definitely not clear even if you watched the video.  ,The number we've had is about right.,I wish they were more straight from the notes/videos.,4,3,4.5
"Lecture quizzes are effective, easy, and student-friendly way to learn. Assignments are good balance of work and are pretty fun",Too easy. As a DSC major who has taken DSC10-80 much of the course is repeated material for me,The number we've had is about right.,"the ""select all that apply"" can be very ambiguous and open to interpretation",1,1,1
Learning about the various packages and tools associated with Python that is available for use in data science projects.,,The number we've had is about right.,I think they've been fine generally and would keep them as is.,0.5,1,6
I learned a lot about data analysis which I think is super helpful.,None,The number we've had is about right.,I think they've been fine generally and would keep them as is.,3,2,2
The format of this class is super flexible for me to learn data science. ,The final project weights too much and becomes too decisive to our grades.,The number we've had is about right.,I wish they were more straight from the notes/videos.,1,2,5
Learning about how code is so important nowadays and it is a great skill to have.,"The stress, since it is something that does not come easily to me, having to code is hard for me to understand sometimes, formatting specifically is what trips me up.",The number we've had is about right.,I think they've been fine generally and would keep them as is.,8,5,4
