height,dob,statistics,programming
74,,6,10
64,5/10/2000,8,4
6,4/6/2000,8,7
65,2/2/2000,8,7
165,9/26/1995,6,6
67,3/14/1999,5,5
59,2/9/1999,3,7
71,11/5/1998,8,4
70,7/20/1999,3,10
74,12/16/1998,7,10
5.6,11/4/2000,6,6
5.3,5/11/1998,7,8
72,3/18/2000,6,8
64,1/10/2001,6,3
63,8/9/2000,5,7
65,6/4/1999,9,4
63,5/11/2000,7,8
64,1/25/1999,5,10
65,7/4/1999,5,5
66,4/21/2000,2,1
74,10/28/1998,8,10
67,2/18/1977,9,9
70.9,4/19/1997,7,5
67,6/22/1998,4,4
66,12/31/1994,7,8
68,7/15/2000,4,5
71,5/29/2019,6,9
71,9/1/2000,8,8
65,3/4/1997,7,9
70.5,1/3/1997,3,5
71.5,5/11/2000,10,8
66,5/11/2000,6,4
70,10/4/1999,5,4
66,5/18/2000,6,8
71,8/13/2000,8,10
68,12/27/1999,10,7
74,8/22/1996,4,4
64,5/5/1999,5,4
66.54,6/17/1998,8,10
73,7/24/2000,2,1
65,9/6/2000,3,4
71,4/17/1999,4,2
68,5/5/1999,5,8
66,12/5/1997,6,8
74,9/28/1992,7,8
70,4/16/1999,8,10
66,10/3/2000,5,5
71,6/23/2019,6,5
68,10/2/1995,7,6
5.7,4/18/1998,1,1
5.3,12/16/2019,3,8
74,5/23/2000,6,9
66,3/29/2000,4,2
61,11/6/2000,5,4
6,10/2/1996,8,1
70,9/9/1998,5,3
63,4/9/2000,6,2
70,8/28/1999,10,9
69,6/16/1997,4,5
71,10/26/1998,3,1
71,6/9/1986,2,7
6,1/17/1997,7,7
71,10/2/1997,6,8
66,10/9/1998,5,1
68,5/23/1999,6,8
68,6/8/2000,6,5
71,10/21/1998,4,7
60,10/26/2000,3,1
75,5/24/1998,4,3
65,4/27/2000,9,10
71,5/16/1997,5,5
73,7/23/1999,10,4
67,10/30/1996,7,9
65,5/22/2000,5,8
69,1/16/1998,8,7
70,10/4/1997,4,10
75,4/12/2000,6,4
75,3/1/2000,5,3
5.7,2/22/1999,5,7
63,11/9/2000,6,1
72,,7,8
71,2/27/2000,5,5
70.07,6/9/1999,5,6
63.4,1/17/2000,8,6
67.7,7/29/1999,7,7
5,6/30/1999,7,7
60.75,10/1/1999,5,4
68,,6,8
165,5/20/1998,5,5
