enjoyed_most,enjoyed_least,,,,,
I think the assignments have been pretty fun and a good balance between time spent and concepts tested. I've found myself thinking pretty thoroughly about them without feeling like I'm doing busywork.,"It would've been nice to pick our own groups, since this might make project planning easier and give us a chance to find a group with similar interests and skills. But, I have no complaints about my group.",,,,,
I enjoy learning about how data impacts people and that we are working to a practical project,The programming assignment and discussion assignments have coding portion that we do not go over in class. It would be nice to have more review and time to spend on learning the syntax of pandas and seaborn.,,,,,
Expanding my knowledge of Data Analysis practices and the novel mindset that Data Scientists use. As an aspiring Epidemiologist I find such strategies and skills valuable and fascinating.,"The emphasis in lecture seems somewhat disproportionate: while the class does acknowledge a certain level of familiarity in Python it still seems strange we quickly rush over code for various table manipulating tools but spend half a class on the differences between histograms, bar plots and other graphs.",,,,,
"The data visualization part. I really liked how we can use python to draw diagrams and visually present data. I also liked the tasks that we had to do in A2 and D3, where we were using diagrams of data to answer specific questions.","As a beginner to programming and coding, I thought that sometimes it’s quite confusing what each syntax means and sometimes I don’t understand why I have errors when running codes.",,,,,
Learning about Data Science and using Python to analyze data because I think these are very useful skills to have and will be important for my future career.,The thing I liked least about this course so far is that we have to submit work on datahub since I don't think the UI is very intuitive and can be confusing at times.,,,,,
I don't really enjoy coding.,What I've least liked about COGS 108 is the entire course.,,,,,
I enjoyed just getting to know how to use pandas and seaborn. It's pretty neat and I like finally getting to know exactly what data science means.,"My least favorite thing was when I was doing D3, I wasn't aware I should have done A2 first and I struggled a lot more than I should have.",,,,,
"More practice using pandas functions! In my upper div DSC courses, we don't really do this anymore and I missed what I somewhat missed what I did in DSC 10 and DSC 80.","Data visualization week was very repetitive of DSC 106, but it definitely is necessary to understand how to make visualizations and what makes them ""good"" or ""bad"".",,,,,
I've enjoyed doing the assignments because they're good practice for skills I think I'll need.,I've liked the 9am class time the least because I don't like getting up early.,,,,,
I enjoyed the assignments because they helped review my knowledge of python/,Sometimes I do not like the lack of instruction on the labs because I'm not sure if I am doing it right (but I feel like that's the point).,,,,,
"weekly discussion, really good remind what we learned from the class","everything good, but when i use data hub, sometimes it's really slow.",,,,,
"i like that we're working on a real project, because if we do a good job, we can use it for our portfolio.",i think the pace for the project is a little fast,,,,,
"wrangling data with pandas, there is just so many things I can do and I learned a lot.","plots, since they are not fixed (meaning you can have multiple answers) and I'm not familiar with it.",,,,,
Labs,Assignments,,,,,
How organized the class set up is and having abundant of materials making finding for materials very easily. Professor Ellis is also very caring and understanding which making the overall experience more enjoyable.,The Assignment or Lab instruction can be a little bit open ended which make doing the assignment a little bit confusing of what the expectation would be.,,,,,
The thing I have enjoyed most about this course so far are the clicker questions. This is because I have to take a step back and actually think and process the information I learned during class.,What I like least so far about Cogs 108 are the labs. I think the labs have been much more difficult compare to the assignments.,,,,,
Getting know more about data analysis.,Nothing.,,,,,
"I like that there is the option to attend class in person or remotely through podcast, as it makes it easier for a commuter like me if I can't attend class in person for some reason. I also like that grading mistakes are fixed very quickly, as it reduces anxiety about my grades.",I'm aware that this isn't like an intro data science class but I did not expect to jump right into learning about it and only briefly going over python basics (I took COGS 18 last year so it wasn't exactly fresh in my mind).,,,,,
learning how to code! and generating plots,i don't know what kind of question to ask for final project and everything cramped in midterm season,,,,,
"I enjoy lectures in Cogs 108. I think the professor is a good lecturer. It sort of feels like review for me, as a Data Science major, but I feel that it is still useful. The GitHub lecture/information is really great and fun to learn about. I also like talking to my peers in lecture. It is really nice to either complain together or simply learn about other. I actually made friends with those who come to class often, and it makes me happy.","The assigned group projects and lab/assignment directions. I have hesitations around group projects and even more-so when I do not know the other group. Mine has been a bit difficult, but the Professor has been helping me as the quarter continues, so I think it will get better. The lab directions and the assignment directions are often unclear. I feel like a lot of the time I am guessing as to what the directions want from me. I feel like the wording could be a bit more clear. If I have to look at multiple sections of the problem to figure out what they might want, then I think there is room for improvement.",,,,,
"I've enjoyed how engaging the course is, having variety of assignments like discussion, being a more open type of class",So far something that I least liked is the communication within the group.,,,,,
assignments are easy and fun to do,the quizzes should have another attempt,,,,,
I enjoyed using jupyter hub in order to code graphs and basic functions.,I disliked the complicated commands that is used on making bar graphs/sea plots,,,,,
I enjoyed working on the assignments in this class. The project so far is also going well.,I have no complaints for this class.,,,,,
Many might consider COGS108 as simple but it is perfect for people like me as a beginner who knows nothing yet.,the assignment and discussion is more time consuming than I expected. I expected 2 hours for A2 but actually I spent 5 hours since i was very new to everything. For D3 I spent about 4 hours to double check the answer and make sure I understand the prompt correctly. Some of the D3 instruction is not clear enough.,,,,,
"Learning about various aspects of data science is the part that I enjoyed the most in Cogs 108. It gives added directionality to what I can do with Python moving forward. Although I don't aspire to be a data scientist, the concepts I learn from this course such as data wrangling data, creating plots and being mindful of ethics/data privacy can go a long way in any career. I also enjoy attending lectures since there is never a dull moment.",Mostly the lack of passion and communication for Cogs 108 Project which is expected given the randomized assignment of members. It is very difficult to light a fire under people who see this class as a check in the box. I also feel separated from potentially meeting others who are genuinely excited in doing something interesting. This gives me further insight of why talent management and team cohesion are so important.,,,,,
I enjoy the assignments,I think the quizzes are a pain,,,,,
I am enjoying using python because the only other experience I had was in Java,Difficulty in planning with groups,,,,,
The Professor explains the topics so clearly and concisely especially for people who are not familiar with data science or coding in general. The clicker questions are so helpful in reinforcing my understanding of the topics that are being covered and they help me stay engaged so that I know how to answer the question. It also helps me to interact with the people around me and ask for help or their understanding if I don't know how to go about answering a question.,"The project isn't explained very well at the beginning of the quarter. I feel like we have a rough idea of what to do but for people that are not familiar with the subject I think it would be nice in the future to have like half a class for instance discussing what the project will look like, a good example and the feedback the professor gives, and time for the students to ask the professor questions about the topic.",,,,,
We get to try a lot of data science tools in practice through assignments and discussions.,"The due date being Sunday has been very stressful for me personally. I’m part of a competitive dance team on campus, and have had competitions on weekends, making the Sunday night due date for everything difficult to make. It has definitely impacted my performance on the assignments, as I missed small things that were caught by hidden tests later. In the future, I think Monday night, would be a better option. That way we have the weekend to work and, in the worst case scenario, get last minute help on Monday before submitting.",,,,,
class isnt very stressful,discussions are harder than assignments,,,,,
learn pandas in python,the assignment instructions sometimes seem to be confusing,,,,,
I enjoy the freedom we have with deciding on our topic.,"Learning to code is difficult right now. I took COGS 18 and have other programming experiences using python. However, I have very little experience with stats and found it difficult to understand the documentation for Seaborn. More clarification on how the syntax works would be helpful.",,,,,
I have enjoyed practicing pandas and I look forward working with my group.,N/A,,,,,
The assignments are interesting,It’s a bit confusing seeing which assignments I have done and submitted. In general keeping track of assignments,,,,,
"So far, it has been an interesting yet challenging class as I am not the best at python or coding in general. The lectures have been engaging especially with the iClicker questions.","Sometimes it may not be completely helpful when I am trying to look back while trying to complete the discussion labs and assignments. That is usually ok because then I would try to search it up on Google, but it can be somewhat frustrating to do so.",,,,,
Learning how to use imports like pandas and numpy,"Not being able to choose teams, but its not that big a deal",,,,,
"I enjoy how the lectures tie in application to the real world! I feel that a lot of courses I take never make the extended relationship to how we or others might use course concepts in the field. I also really appreciated the walkthrough format of A2 because as someone who has never coded with Python before, it was nice to have a more formal and guided introduction to common functions and strategies.","I did not like how D3 was much more difficult compared to A2, as I would have expected the main assignment (A2) to be harder than the lab assignment (D3). However, I usually complete D# before A#, and I wish that the D#'s could be formatted in a more guided walkthrough.",,,,,
Gaining a better understanding for pandas and data visualization because I believe it is an important asset.,"I would like the labs for the discussion assignments to give more specific instructions on what functions we should be using to complete the question. Sometimes, it asks us to do something that we have never done before without giving us the library function that we need to use to answer the question.",,,,,
"I've enjoyed the labs and assignments, I think they are fun and I have learned some new things from them.","I've least enjoyed the quizzes, they also feel tedious, but they don't take long so it's not a huge issue.",,,,,
"It's been a relaxing, not too stressful class. The content is new and fun to learn about since I haven't taken a data science class previously.","Accessibility to get help. Probably towards getting help on assignments or discussion work. All I know of are my lab hours, but usually I take up the entire time completing the discussion assignment. Also it was a bit difficult to coordinate good timings with my team, which is out of control of the course and staff of course, but that was a small issue.",,,,,
"Learning about plotting graphs, because seeing the graphs gives me a clearer sense of what I'm learning and a sense of achievement.","Struggled with the assignment. Because I have a really poor coding background, I needed to look up a lot of things online. However, this is my problem and I understand the course design, so this has nothing to do with the course.",,,,,
I like Dr.Ellis' explanations during lecture. She's a very good lecturer! Also the labs reflect what's taught in lectures.,"I guess the random group assignment. Although I know that it is often the case in real life that people from different background need to work together, it takes a lot more time to communicate between each other since we have different expectations and experience.",,,,,
"The assignments and labs. I feel like I learn a lot from them and they're equally challenging and fun, as well as interesting with the types of data we get to see. Definitely my favorite assignments I have ever had from any class.","Uncertainty about project, feeling stuck.",,,,,
To learn about the ethics behind data science. Because usually people just use the data without consider how they collected and processed the data. Understand the ethical fields of data science really impacted me a lot.,Everything is good so far.,,,,,
"I have enjoyed doing the assignments, because it has allowed me to apply the skills talked about in lecture. In addition, it really helps to remember and understand how to apply skills discussed.","Although there is nothing severe, there are certain parts of instructions that are often unclear.",,,,,
The labs are interactive and helps learn about the course.,Sometimes feel like there are too many assignments to keep track of.,,,,,
I've liked learning about different ways of displaying data and which visuals are most effective in displaying certain kinds of data,"I appreciate that we've gone over the basic concepts however I feel like so far what we've learned in class isn't aligning to the bigger scope of what we have to complete for our project. For example, our project proposal is due however I dont know how to go about deciding on a research question.",,,,,
"Love the discussion and assignment, pretty helpful for organizing the project",Don’t have too much communication with my group,,,,,
I like that the class accommodates those who can't make it to class in person. I also like the lecture format and the discussions are very helpful.,Datahub sometimes freezes or has trouble running.,,,,,
The lab homework,Nothing so far,,,,,
I have enjoyed my discussion sections where I get to collaborate with my classmates.,"I have disliked when my code doesn't run and I am stumped. But, it ends up ok!",,,,,
"Hands on experience in doing data science related tasks such as data cleaning, data visualization, EDA, etc and having a group projects to work on.",Weekly discussion is not that helpful for me since it just went over the discussion assignments.,,,,,
I actually really like doing the asingnments. They are fun and engaging. I also think that the material itself is very interesting and fun.,"Some of the questions on the datahub assignments are a bit confusing and unclear. Especially for the ones that require visualizations. If some of the questions could be a little more clear, it would be highly appreciated.",,,,,
I have enjoyed the lectures the most. The professor explains topics very clearly. I also liked the guest speaker session.,I found the last lab difficult and didn't enjoy doing it because it took a long time trying to figure out what worked and what package methods to use.,,,,,
I really enjoyed the lectures and figuring out the homeworks. The homework allows me to use the lectures and apply it there.,I feel like I like everything so far. Maybe the tests and hidden tests are hard to understand.,,,,,
The content in lecture is digestible and the pace works really well for me. I often don't need to look back on the slides after lecture because I understood the content during class.,Some of the discussion lab content can be much harder than the examples given in class. I would like to see more examples in general.,,,,,
I really enjoy how we make plots to visualize datas,So far I think the pase of the class overall is too slow.,,,,,
"The discussions, because the TAs in the Wednesday at 12 class gave helpful hints and tips.","The one Sunday that had a discussion, assignment, project review, and week quiz. It felt a little overwhelming.",,,,,
I enjoy leaning how to use pandas.,I like drawing plot the least.,,,,,
I have enjoyed learning how to use python to visual data. I have never used a coding language for data science and am happy I am starting to do so.,I have disliked not knowing the solutions to assignments and discussions after they have been graded. I believe I have gotten the right output for every assignment but I don't think my code was the optimal way to produce such result. I am new to pandas and seaborn and would like to know what the most efficient way to get the desired output.,,,,,
I've enjoyed learning different applications of data science and I appreciate the variety of fields covered in examples.,Sometimes the assignments/discussion assignments take a long time and there are kind of limited office hours.,,,,,
Using python and being exposed to more skills I can put on my LinkedIn,my friends stopped showing up to lecture :(.,,,,,
"I enjoy writing code and generating plots with python. Although it might be tricky sometimes, I always feel accomplished when I finished it.",One thing I liked the least about is the vague grading system. Sometimes I don't understand what the lab questions are asking for and what kinds of answers are accepted.,,,,,
I've enjoyed the coding aspect of this course. I feel like I'm actually learning how to engage with data science in a practical and marketable way.,"I feel that I have to do a lot of outside research to figure out how to do the assignments. I understand that any tech job requires a constant drive to learn and problem-solve, but it can be a bit frustrating when you're learning something fundamental for the first time.",,,,,
i've enjoyed the assignments,i feel like the class goes by really slowly but i think that's more on me,,,,,
The course content is interesting,NO detail about homework,,,,,
"I like the lectures, I really enjoyed it.",coming to session in R,,,,,
I like the weekly quiz because it summarizes some key points throughout the week. It enables me to review the slides afterwards if I felt confused on the question on the quiz.,"After reviewing past final projects, I felt a little bit stressed about the length and difficulty of the project (but overall felt excited).",,,,,
"learning how to use datahub, I code a lot as part of my major but I always enjoying learning new languages or programs.","communicating with my group has been a bit difficult, but I think it will be better from now on.",,,,,
"The theory behind data science, and interesting studies/example for how we come to understand data science.",Nothing so far!,,,,,
I like being able to learn python again and also using jupyter notebooks to learn pandas as well,I least liked the fact that the iclicker app required a subscription after the trial,,,,,
I enjoyed working on the assignments as it's my first class about data science and it's fun looking at datas.,none,,,,,
"I've enjoyed attending lectures the most because of Professor Ellis's teaching style. I believe she explains concepts very clearly, and at a perfect pace, and her lectures are very well organized. I also like the fact that we have many extra credit opportunities, especially since a big percentage of our grade is based on a group project (which can be somewhat unpredictable)","I generally don't have any complaints about the class; my experience has been very positive overall. However, there are a couple of minor inconveniences I've encountered. Accessing the PDFs on DataHub still doesn't work for me (I get a blank screen) and also, the process for submitting assignments feels a bit uncertain. The lack of confirmation emails or a clear indication of which file has been submitted can sometimes be worrying. I understand that these issues may be beyond the professor's direct control and more related to the platform's limitations, but if there are any improvements that could be implemented, it would certainly help with this issue. Generally, I do enjoy how everything is centralized and accessible from Datahub and how we don't need many different platforms to manage files and submit our assignments.",,,,,
"I was worried if lacking experience in python would make this class challenging, but the lectures and assignments guided me in a comfortable pace to build the skill up, making this class more enjoyable than other courses.","I hope the labs could also help us on more than just lab, as assignments and projects are more challenging than labs.",,,,,
The most part that I enjoyed is to learn a few practical skills that can help me to do some real-life analysis to the data.,"As for now, I enjoyed everything in COGS 108.",,,,,
"I feel that with the pace and lecture, I am learning theoretically as well as practically. With the project and the lectures, it's very well balanced and the material is very interesting. I feel that this class is a great way to learn data science practically different from other class that focuses too much on lecture","Nothing, everything is great",,,,,
Learning about ethics and how a lot of data can be bent one way to show something even if it's wrong or not objectively correct,Using datahub,,,,,
"I've enjoyed the assignments as they provide a good amount of context and resources to help guide me through the assignment. Although they are a bit lengthier than the labs, it is very satisfying when I complete the entire assignment and pass all the tests.","If I had to choose something that I like the least about COGS 108, I think it's been a bit difficult engaging with my project group. One of our group members has not interacted in our group chat or meetings at all, and I'm worried that this will impact our overall grade on the project.",,,,,
Labs because I like doing python coding that is easy to walkthrough,group projects stress me out,,,,,
The labs,Assignments can feel overwhelming during this time of the quarter,,,,,
I have enjoyed doing the labs. They are great components of the class that have opportunities to learn.,"I think the quizzes just because we have to wait till friday to do them since I like to finish the other assignments due Sunday earlier if I can. However, it does make sense since we need to have the week lectures done before it and at least they are not too long.",,,,,
Learning about how to do visualizations.,assigned teammates,,,,,
I have enjoyed learning more about python and how to digest data. I think that it is fun to have the creative freedom to decide what's the best way to make data interpretable.,My least favorite thing so far has been trying to figure out a topic with my group for our project proposal. I think that we had a variety of different interests so it was more of a challenge to find something that everyone was passionate and knowledgeable about.,,,,,
"I've really enjoyed the assignments. I love hands-on experience of content I learn, so it's been nice practicing my python, numpy, pandas, and viz skills in the assignments.","D3. I was overthinking about how to do the different visualizations, so that took quite a while. I was getting frustrated but then was eventually able to figure out a simpler way to make them.",,,,,
I enjoy learning about data frames in Panda that allow you to organize data effectively.,"I have a hard time with coding, so figuring out data wrangling has been tough",,,,,
Learning basics of how to wrangle data - I think it's a super important skill to have and I enjoy coding,"D3 - I had a really hard time with some of the problems, especially the one involving displaying a table based on the male/ female cheating proportions. It felt like there was supposed to be an easy way to do it but I ended up having to do it manually from the value counts. The value counts object type also confuses me, it seems to be kind of accesible in a similar way to a df but some things that are supposed to work on DFs dont work on them. I'm also super confused by the groupby and aggregate functions",,,,,
"I enjoyed the organization of the notes and the lecture, of how easily accessible and legible it was.","I was not too fond of the iClicker EC, as it requires students to purchase either the physical device or the subscription of iClicker to participate. I understand that it is an extra credit therefore participation is optional, but I believe the option to participate should be open to all without financial burden. iClickers can easily be replaced with other methods such as Google Form or non-subscription based participation tracker. In addition, some exercises on assignments and Discussion Labs require knowledge beyond what we are taught in class, especially in knowing specific methods to organize dataset. Sometimes it requires a learning beyond simple Lab sections or internet search where I had to spend multiple hours on one part of the question. I wish the difficulties of these questions be modulated, so that it is challenging enough but also solvable within an hour or two.",,,,,
Learning about how graphs could be made using seaborn and pandas,I wish there was more time given for explaining the code and how it can be used to implement different features for the graph.,,,,,
"Doing the pandas assignments and learning a new tool has been fun. It has been frustrating to deal with errors but overall it's nice to have a new skill that I can develop and learn more about. I like the structure of the course, it feels like a crash course to data science and really sparks my interest in the field.","The group project aspect of it. I am the kind of person that doesn't like group projects in general, which this class hopefully will help me overcome. It has also been difficult coordinating with the group so far, which makes me nervous for the future of this project. I understand that this is a necessary part of professional development but it is the least pleasant part of this course for me.",,,,,
"I have enjoyed learning more about how to effectively analyze and describe data. Specifically, I have actually really enjoyed creating different types plots for various datasets, and watching these charts be generated from lines of code, even if typing out all of the code for generating these charts can become a bit tedious at times.","So far, there has not been anything I have disliked about COGS 108 so far. Even though coding is not my main interest or the focus of my major, I have greatly enjoyed learning and practicing coding in general, and I have yet to find something about the course or the topics being taught that I dislike.",,,,,
"I enjoy the pace of the lectures and how you make every effort to make the class relevant to us. I also enjoy the participation questions you pose mid-lecture, but...","I don't enjoy the usage of iClicker for the extra credit participation. Yes, I understand it is completely optional, but I just think iClickers (device or the app) put up an economic barrier to entry in the sense that you'll have to pay anywhere from $15 to $45 to access that option. I know many others have had iClickers before this class, but this is my first class at UCSD that has used them, so I myself had to pay. I DO enjoy the participatory aspect of them -- the in-class little quiz questions are excellent ways to test my understanding -- but I feel a different method can be explored. (For example, COGS 101A last quarter tracked participation with Google Forms while still employing the mid-lecture question method.)",,,,,
"I have enjoyed that we aren't being penalized for not going to lecture in person. So many classes force you to go by doing attendance or things like that, but since we aren't forced, it's nice to just watch the lectures online.",I can't really think of anything.,,,,,
The structure of the course is very easy to follow,I'm not the biggest fan of random groups as we all have very different ideas for things.,,,,,
"Learning about data science is interesting to me. As a math major student, I know little about data science applications, and this class is showing me what I don't know.","I don't like making graphs. Especially, I think making a good graph is challenging.",,,,,
the industry talk was very interesting,"some library functions are very specific, documentation is sparse",,,,,
"I've enjoyed learning more about the various seaborn plots and getting used to using them frequently, as it's helped me in my other CS classes as well.","I think having numerous assignments all due on the same day can be overwhelming sometimes, though I do like having the confidence that nothing will be due until that day each week.",,,,,
I enjoyed learning how to create different types of plot using code,"Coding D: just because I'm not a ""pro"" at it yet so sometimes it gets a bit frustrating when I'm trying to solve something but I keep getting an error",,,,,
"The homework assignments, I always like brushing up on my python and staying in the mindset of thinking like a data scientist when manipulating datasets.","Maybe some of the code on the discussion questions was confusing, but otherwise I have nothing to say.",,,,,
Learning git and github; it seems like it's the most useful skill for being a data / computer scientist besides actually learning to write programs.,"Maybe this is just how upper division classes are (I'm a first year so I have only taken one besides this) but I didn't see much of a 'tutorial' for things like git, seaborn or matplotlib. Just meant I had to look up the documentation and learn for myself which isn't necessarily bad, just a little more time-consuming.",,,,,
Being able to do a project where we can explore data and make interpretations from setting up data.,Working with people who simply want to get work done and get things over with.,,,,,
"I have enjoyed the labs the most so far! I've only taken COGS 18 and don't really have too much experience with python, so I feel like I've been learning a lot more applicable methods and things that I can bring outside of this class. Sometimes I do take excruciatingly long and stressful hours on these assignments, but it gets completed. :)","Sometimes I get frustrated with the assignments, I usually get really stressed out from Thursday - Sunday night if my assignments are not completed, but I realize that learning is not always smooth and that I am simply on a different learning path than everyone around me!",,,,,
"Not having to go to lecture, its convenient.",Having to do a project with people I don't care about is really annoying. It would be better if they were more competent/proactive.,,,,,
I really like the discussions,I don't like how the assignments are not super specific. I wish the instructions were better,,,,,
I have enjoyed getting to know some people in my class through working on the group project. Normally when I take a class outside of my major I do not interact with anyone since I normally don't know anyone else taking that class.,I have liked reading the pandas documentation the least. This is because I tend to learn better with examples in front of me rather than trying to figure them out by reading the documentation.,,,,,
"I've really enjoyed mastering the concepts, such as how to make plots using seaborn, and then getting to implement it in the jupyter notebook. Getting to create plots very quickly and with a good understanding of the topic is so satisfying.","What I've liked least about the course is the final project. I think that being able to see the entire rubric for a very large project became very overwhelming, and being able to only see one step at a time would help me to slow down and pinpoint exactly what is expected of me.",,,,,
"I like the clicker questions and easy way to participate and stay engaged in such a large class, which is generally harder to do.","Since there is usually info from all 3 lectures during the week that is needed for labs and assignments, it is a bit difficult to work on those HWs ahead of time, since I often have to wait until Friday to understand certain things or I can't always attend lab early enough in the week to be able to do the labs. As in, it ends up often that they can only fully be done on the weekend. I know one solution (and maybe an aim of the class) is to break it up and do just a portion at a time to incorporate what was learned each day in lecture, but that is not always feasible since it's easier to do it all over a shorter time span of a couple days, but still harder to complete ahead of time (especially when trying to not do things last minute!)",,,,,
"I enjoy that we have both assignments and discussion labs, because the discussion labs help to get additional practice and understanding without the pressure of needing to know everything or do everything myself. Then, the assignments can serve as a mini-quiz or knowledge check.",I disliked that I don't know where to look for resources on the python libraries that we use. There are SO MANY on google and it's hard to find what actually answers a question I have or applies to what we are specifically doing in a lab or assignment. If the course staff could compile a list of sites (maybe there's already a reading list that I missed?) and announce it (or remind if there already is an existing one for this course) it'd be deeply appreciated.,,,,,
"I've enjoyed getting hands on coding experience! I'm taking another class on R right now, so this goes together with that really nicely to reinforce everything I'm learning.","Sometimes I feel like the jump from what we do in lecture to what we have to figure out in the Demo assignments is a little fast. I feel like I pay attention during lectures and follow along in the notes, but I often spend quite a while on the assignments trying to figure it out.",,,,,
I like the discuss section. TA explain more detail on coding.,The group project. I know it's good for us，but everyone is so busy that it's hard to schedule time for discussion,,,,,
The pace of the class. I don't feel rushed at all when learning new topics.,The wording for labs and assignments. Especially with D3 it was confusing what exactly some of the questions wanted me to do.,,,,,
I liked solving coding problems and see different functions that panda has. Making the data clean gives me a sense of accomplishment,I don’t really like making the graphs haha,,,,,
I have enjoyed being able to learn more about python!,I dislike the discussion labs because they are tedious and difficult.,,,,,
"I've enjoyed the labs so far. Very low pressure, pass the tests and I'll be fine","I'm struggling to come up with answer to this because I can't think of anything to complain about for this class, so this question. Have had some issues with datahub going down around 8pm one time when I tried submitting a lab, but I suppose its the servers getting stressed from every other student trying to submit their hw the night its due",,,,,
My most favorite part about COGS 108 is its organization. I believe having all of the coding assignments and lecture notes in one place (JupyterHub) is very helpful.,My least favorite part about COGS 108 is the coding work because it is difficult.,,,,,
I liked learning how Github works in detail and what push/ pull meant etc. I feel like I've used Github in the past but completely unaware what exactly I was doing.,"I've not liked how slow it is so far, but that's because I have a lot of experience with pandas and data science.",,,,,
Reviewing past projects because I love the idea of combining data science with real world problems to address real world situations,I think i find the pacing a little slow up till now but am noticing an increase in pace from this week onwards.,,,,,
Learning and exploring pandas because I enjoy learning new things and using them in ways that I never knew.,The large amount of busy work because I am getting overwhelmed by other classes.,,,,,
I enjoyed working on the project with my group because we get to think of our own topics and they are all very supportive about any ideas people have!,I liked the assignments least because its sometimes challenging for me to do and I’ll have to spend some time on it.,,,,,
"I enjoy the coding portion, even though I find it difficult and struggle often because I haven’t learned Python before, I find it to be a good challenge. I also like the guest speaker lectures since we got to see data science through the lens of someone who works in the field.","As someone who has a lot of group project assignments this quarter, in general, I would’ve not preferred to have an another one on top of them. Nonetheless, it’s interesting to apply the course concepts in a setting like this one.",,,,,
Learning data science and pandas in particular,Not much to complain about. I wish there was more explanation for the graphs and how to customize the graphs,,,,,
"I have enjoyed just learning about the basics of coding for data science and going through the labs and assignments. I also especially like learning about ethics in data science, since it is very relevant to current issues.",I think D3 was kind of hard and confusing based on what was taught in class. I felt like I still had to look things up a lot on my own outside of the notes. I also would prefer to learn everything needed for the assignments and labs by monday so that we can start on both earlier just in case it takes longer.,,,,,
"I have enjoyed the pace of the course, and both the professor and the TA sessions have been helpful . Also,the lecture is engaging and not difficult to comprehend.",N/A,,,,,
"Learning about pandas, which is very practical in the data science world, has been my favorite part. Sitting down and learning the methods and plots will allow me to create my own data science projects. I also love the light workload.",There is nothing that I dislike. I think it is a very structured course.,,,,,
"I really enjoy the timeline of this class, having all the assignments due on Sunday and having the leeway to work on the assignment throughout the week. I really do enjoy learning from this class, there's a challenge but also an incentive to learn more.","Least favorite part is the inability to take this class on zoom. I wish that was an option because it makes it a lot easier to access, especially during the times of extreme weather.",,,,,
