enjoyed_most,enjoyed_least
"I've enjoyed doing the A2 assignment because I thought that one was fairly easy to do, and it felt good when I understood how to write the code.","In terms of assignments, I didn't like D3. I wasn't able to extract the topics/code covered in lecture to complete D3 in an efficient way, and I struggled a lot on making the proportions, spending hours on it. "
"I like the hands-on experience I've been getting with Python in relation to its applications with data wrangling and data visualization designs. I feel like having so many opportunities for hands-on learning has really solidified the fundamentals of using Python to perform data analytics, and Prof. Ellis always offers clear, easy-to-understand instruction whenever getting us started on the basics.","Lecture examples for data visualization tended to be more simple than for the discussion lab, which resulted in quite some frustration compared to earlier experiences with discussion submissions. I understand that in the beginning of the quarter, we were already warned that we would need to do a lot of Googling (and honestly, I have no complaints about doing so, because I have found the overall research experience to be more enlightening than painstaking), but I feel like the class would have benefitted if more challenging examples had been included in the lecture.   "
"I like the hands-on experience I've been getting with Python in relation to its applications with data wrangling and data visualization designs. I feel like having so many opportunities for hands-on learning has really solidified the fundamentals of using Python to perform data analytics, and Prof. Ellis always offers clear, easy-to-understand instruction whenever getting us started on the basics.","Lecture examples for data visualization tended to be more simple than for the discussion lab, which resulted in quite some frustration compared to earlier experiences with discussion submissions. I understand that in the beginning of the quarter, we were already warned that we would need to do a lot of Googling (and honestly, I have no complaints about doing so, because I have found the overall research experience to be more enlightening than painstaking), but I feel like the class would have benefitted if more challenging examples had been included in the lecture.   "
"I've enjoyed learning Python and the overall organization of the course. I've been meaning to learn Python for a long time and it's nice to have the chance to both learn and apply it to assignments and projects. In terms of the organization, it's really nice that students know pretty much exactly what to expect week to week as it allows us to plan ahead in relation to other classes as well.",Working with my group has been a little frustrating given that we are all remote and disconnected. At times they can be quite unresponsive.
Hands on learning of seaborn and pandas. Also just the idea of fermi estimation (which I will now use for the rest of my life).,"Length and helpfulness of technical discussion sections. It would be more helpful if instead of going over previously written code (like the D3 Baby names), the TA's actually coded in Pandas/seaborn in front of us, this would help us see the process more clearly."
"I have most enjoyed the team aspect of COGS 108. As a computer science major, it is refreshing to be able to work with a larger team and be able to hear the thoughts and ideas of many other people. I like that this class revolves around such an interesting project where there is a large amount of flexibility, such as free choice of topic. ","I have least liked the timed quizzes that we must take each Friday. While they do encourage us to go over the material and solidify our understanding of the lectures, I think they shouldn't be timed as 15 minutes to take a quiz online can sometimes be stressful. "
"I'm really not a fan of the material, but I like how Prof Ellis walks us through the notebooks and how the coding stuff is explained very clearly. Having the explanations in the class notebooks makes doing the discussion labs and assignments a lot easier since I can usually check the class notebook and reliably find the code I need.","Again, I really am not interested in data science in general so it's been kind of hard to keep myself motivated for this class (especially when the COGS department won't let us P/NP like other departments have been doing, but that's a whole other can of worms...). But I don't have anything I dislike in particular about the way the course is run, and I'm grateful that even though there are quite a few small assignments every week, none of them feel like busy work and are actually helpful for me since I'm not as strong with coding."
"Professor is always a joy to have in the class, work is spaced out and not too difficult. ",Everything is doing great! 
the discussions and hw,this final project
"no midterms, i feel like i learn more from the assignments than i would a test",documentation on programming pandas can be difficult to apply to assignment
I have enjoyed learning how to incorporate coding into data analysis. ,I find that the discussions are quite long and can be rather tedious. I think shortening them to a more clear cut practice would serve to be better. 
"I have learned a new way to look at data, and had great fun doing research on our project. ","There are a lot of new terminologies and when I was doing technical discussion, a lot of stuff was barely covered in the class, hence it was a little bit stressful. "
"The group project. I think it is really productive and helpful to feel what group coordination would be like in the real world, like in a job or research prosition.","I think I would like discussions and Assignments to be combined, because to me it feels like there are too many different things due to keep track of."
"The class rhythm is good for me and because there is no midterm and final, it gives me more time to figure out what's the meaning behind each question. I think I can learn more in this way.",Discussion 3 is somewhat difficult for me. There is one question taking me about 2 hours but I still miss it.
I liked exploring ways to represent different visualizations using same dataset and the importance of ethics in data science was intriguing too.,D3 was too hard to complete as it did not have much guidance given that it is supposed to help us with assignments. A2 was way easier than D3.
"I enjoyed learning about the different data files, such as CSV, JSON files, and learning about how to use pandas to create different datasets and tables.","I least enjoyed the actual coding and programming aspects of using pandas, as it can get a little confusing learning the syntax and code."
"I like the structure of the class and how we work in teams. It makes me feel less stressed in knowing that I have a team to collaborate with this quarter instead of having to do a huge project on my own. I think that even though its through zoom, it offers students the ability to chat and get to know each other in a time where that is limited not only in our social and personal lives but also in school work. I think its a nice break and overall makes me feel more confident in the class.",The thing I like the least is probably having so many things due on Fridays. It bunches up for me and its managable but it wouldnt have been my preference to have everything due on one day. But maybe having 2/3 due on friday and one due on saturday or sunday since I work during the week and the weekend has more study and homework time for me.
I have enjoyed the learning of python. I can now easily use this language to analyze data.,"I know that the ethics are important for data analysis, but it is kind of boring. Also, I am so confused that I missed some points in every quiz."
"I enjoy learning the python library pandas. I know it is an important skill for data analyze, it is worth to learn in this class since it will be more helpful for my future career!",Every topics are interesting! No liked LEAST so far in this class.
"I enjoy doing the assignments, it is pretty difficult with no python experience and I am also not great at coding, so it does take a lot of time, but figuring out the code when I’m stuck can be fun sometimes. ",I think doing a group project makes this class a little difficult because it’s hard to find time for the group to meet because everyone has very conflicting schedules. 
"Learning about pandas, it is very interesting","Early lecture, not a morning person lol"
"The class is very structured and despite having many assignments, they're all due on Friday every week, so it's easy to remember. ","I honestly don't like that I have to work in a group of four, but at least I get more experience with collaboration :)"
Learning about ethics in COGS 108 was really interesting for me but I am biased because I love when ethics are involved in anything,"Coding as always been hard for me and this class is no different, so as coding gets more complicated I have to spend more and more time on this class and it ends up being the most difficult and time consuming. "
I liked learning to do different types of plots using seaborn/matplotlib/pandas,"Everything is good, it's just hard to get up at 9 in the morning :)"
The lecture and homework structure is super clear.,Remote learning makes the group communication a little harder than usual.
A lot of resources; reasonable amount of workload. ,It'd be great if we spent more time talking about python 
"The content of the course is really helpful, and I think I actually learn something about how to apply data science.","Actually there is nothing I do not like, this course is great."
"The thing I have enjoyed MOST about COGS 108 so far is working on the group project. During this time of remote learning, I believe things like group projects help people feel less isolated and give students an opportunity to better connect with their peers.","The thing I liked LEAST about COGS 108 so far is learning about all the different things that can be done in pandas, seaborn, and matplotlib. I'm overwhelmed by how many different things can be done and don't think I can remember everything we go over in lecture."
I like working with a team and learning from other team members.,Plotting graphs is hard.
I like the pace of lecture and assignments. It's almost a perfect balance of being able to learn a lot at an optimal level without having excessive stress.,"The Discussion notebooks are sometimes confusing from the lack of instructions on the notebook itself, but through lectures and research they are doable."
I enjoy the option to watch the lectures asynchronously such that I can watch the lectures at my own pace and pause when I need to.,I find the assignments to be a little challenging and could take some time to complete with no prior python knowledge.
The professor's lectures are very engaging.,The Discussion problems are sometimes unclear or cover material that has not yet been taught.
I've enjoyed working with my group towards the final project since it seems very interesting how we can work on our own real data science project. ,Sometimes I find the Discussion assignments and the actual assignments difficult to do and stressful and I feel like I do not have enough knowledge from the class lectures to be able to answer the questions.
"I have been enjoying the teaching style! Professor Ellis has been very engaging in the way she has explained concepts, and has given very clear answers to questions.","This is less of a dislike, and more of me being bad at the utilization of python, pandas and other imports. It has gotten easier (likely due to previous experience with java) though, so it is not that bad!"
I think what I enjoy most is that we're able to apply concepts taught in class towards a project. It gives us more experience through hands-on learning. I also like the fact that we have discussion labs that help with future assignments.,"What I like least is just that there's never a right or wrong answer in some instances. I guess this could be a good thing, but in some cases I find myself doing a lot of outside research to understand something new that I have to learn to apply."
"My favorite part so far is going to the lectures, bc Professor Ellis is really passionate about Data Science and I like learning about how to conduct research and do data analyses, etc. ","I am not a fan of coding and am a beginner Python learner, which do not go well together. I have had to look basically everything up for the Discussion and normal Assignments, so it has been sometimes very frustrating and time-consuming, even when I do go to office hours/section for help."
Enjoyable subject matter and assignments,N/A
This is a nice extension to 18 for me to learn about visualizing data instead of just the programming aspects of python.,"The data visualization teaching portion could use some work. I really struggled with D3 on how to wrangle the data into a usable format to display. I attended lectures and you went over some of it but it was nowhere near enough for the discussion lab. I also attended two different TA's office hours but neither was able to help too much. They both seemed just as lost as I was with the errors I encountered and were unable to effectively guide me on alternate strategies. If the time spent teaching data-wrangling strategies was increased before dropping us into the lab or more guide rails were added to the lab to help us, that would make the experience much better as our support structure wasn't able to prop us up and google isn't particularly helpful as the error messages are very generic and nondescriptive of the true nature of the error."
I really enjoy the labs. They teach me the practical python skills that other classes won't.,Class is too early
"I have enjoyed brushing up on my pandas and matplotlib skills, plus learning about seaborn",N/A
"So far, the most I have enjoyed about COGS 108 is being able to finally work with data. I have for so long wondered what exactly Data Science consists of, and being able to have hands on experience with organizing and analyzing data has given me confidence that I'll be able to employ these skills at future tech jobs. I enjoy the assignments that make sure I keep my practice up and it's honestly so exciting whenever I get a cell to run. I'm very excited for this class, and I've already had employers ask about this course while interviewing for internships, and they've shown great interest in the knowledge I'm gaining from it! 

I have also thoroughly enjoyed the group work and my team mates are all amazing. It's been tough not being on campus, so it's nice to communicate with students through group projects.","The least I've liked about COGS 108 is just realizing just how much memorization is required in cleaning, wrangling, and visualizing data. I'm not only trying to memorize the syntax for Python, but I'm also struggling with remembering what functions to call in pandas and how to correctly type out the operation I want. I spent 3 hours trying to google how to run just one cell and I still never figured it out. It is quite a lot to keep track of and I know the only way to get better is practice practice practice! No matter what though, I'm super excited to be learning these tools and it's great to know that this knowledge will be useful for me in the long run! 

Also, the quizzes are not my favorite. I have watched the lecture videos twice sometimes and I still cannot get full points on the quizzes."
Learning how to use Python,Learning how to use Python
Getting to understand more about how visualizations are created. I didn't understand how complicated the code could be for creating visualizations from a data frame. ,"Because I live in a different time zone and have a tight schedule for when I can watch friday lecture, it is difficult for me to apply things that are mentioned in friday lecture to my assignments/group project. It would be nice if most of the tips and advice could be concentrated into monday and wednesday lecture. But all in all it's been really great, this is very minute :)"
I enjoy going to and watching the lectures. The way you teach and bring positive energy for an early class makes me want to be there and learn. I also love how you read out the questions in the chat before answering them because it makes it easier for me to review when rewatching the lecture videos.,"I’m still working on adjusting to GitHub since I haven’t had prior experience with it, so having it as a vital part of the course is a little challenging."
I really enjoyed learning new knowledge about Python and having chance collaborate with other students,"I don't really like the weakly quiz, although it's not really hard, but i still would miss 1 or 2 points on weekly quizzes"
"I have liked the lectures a lot, as even though some of the information is confusing, I am often engaged.","I do not like the assignments, due to my difficulty with them on my own."
"The class lectures, overall i like the format of the course lectures since it feels really well explained for the content and the format makes it easy for me to understand (even if I am participating A-sych).","The group project, this is because although I understand it is necessary of an experience for the future, it is still difficult to manage a project all online, while still trying to be understanding of other group-mate's personal situations and responsibilities."
I have really liked the datahub assignments. It really allows me to learn by using trial-and-error to work through problems.,I don't really like the weekly quizzes. I feel like they don't accurately assess what I have learned from that week.
The content has been very useful.,It's difficult to learn and apply a lot of the topics we've learned in class to our projects due to the fast-paced nature of the class. 
Applications of concepts to code,Lecture talking speed a little too fast
The discussion labs because they allow me to practice things before assignments with little pressure.,The quizzes just seem like busywork. I think the assignments help my learning significantly more because actively doing something helps me learn better than taking quizzes.
I think the lecture is pretty fun and interesting and the data visualization is enjoyable sometimes.,I think the quizzes are pretty stressful for me each week even though I watches each lecture on time.
"Nothing at the moment (and I mean that in a non offensive way), but I'm hoping that working on this group project might be something I end up finding interesting. This might be the downside of this class being online.","Not a huge fan of the assignments, I feel like I know the gist of what I have to do but then I do it and it ends up being wrong! I think i'm just not that confident with python so was hoping for a little more guidance."
I enjoy the content of this course a lot! I'm really excited to have the opportunity to work on a project with team members as this is one of my first project based classes. I also really enjoy the research and data analysis of this course because I think it is a valuable experience. ,"I don't necessarily have anything that I like the least. I feel like I personally do a lot more googling in this class than I have had to in cogs 18. However, I believe it's because this class is less oriented in learning about code and more about doing actual data science. "
Think I enjoyed making plots with seaborne cause I'm visual learner and I like visual representation,"Figuring out how to graph was pretty hard. I kept getting errors with the parameters in seaborn. For example, I would try to pass something into the column but it would be the wrong column so my graph would look weird. Once I did figure it out though, it was very nice to see but the steps before are very frustrating."
Meeting interesting classmates,The coding. The prerequisite for this class is one python class (which I took) and I feel wholly unprepared for the material in this class.
"I was hesitant/apprehensive about remote group projects, not being able to meet in-person, but I have ended up enjoying working with others. This is definitely not something I would have done out of my own volition, so I am glad this class has gotten me to do it.","Dealing with the submission system on DataHub. I wish there were more confirmations/acknowledgement of my submission that would give me more confidence that my work has been submitted successfully, currently there is little user feedback."
I enjoyed working on the group project. It's an awesome chance to apply what we learned in class on a project we're interested in.,Homework
I've enjoyed being able to watch and stay caught up with lectures on my own time. I also really like the exploratory nature of the discussions because they allow me to test where I'm at and also see where I can afford to expand my knowledge without confusing myself.,"Honestly, I've got nothing for this! Thanks for a great quarter so far (:"
The topics are interesting.,The homework is a little overload.
the assignments allow you to learn things and figure them out,the discussions can be hard and the quizzes as well. Sometimes lectures don't really explain concepts introduced in the assignments or discussions too well. There are a lot of assignments due each week.
Working in a group! I havent worked in a group in a long time.,"Nothing, I like everything about the class so far"
Group project leads opportunities to talk to peers.,Keep procrastinating watching lectures led to more to watch...
learning how to write code for the various assignments,the bugs I run into while trying to code for the hmw and trying to figure those things out
Definitely been enjoying using Pandas and NumPy (useful skills esp for data science),"Mm, nothing much. Maybe do more backflips during lecture? I'm just kidding, I'm thoroughly enjoying this course. "
The assignment due on the same day. I will not miss any due.,The office hour is hard to reach since I am at different time zone.
"I really liked the group project, working together with a group on a insightful topic of our interests, and being able to really apply the analysis skills we learnt from classes to some real world questions.",
"I've really enjoyed the group project structure, and getting to interact with other students even if its remotely through zoom computer screens","I've gotten frustrated with myself a couple times with either an assignment or workbook, but I know that's just what comes with being new to a programming language"
I love the way we could work on a project to promote learning,"Sometimes I have hard time with assignment and labs, they are a little difficult to me"
Learning about pandas and different things to do with data.,"Fixing technical errors with Jupyter notebooks and Github, git controls"
"I enjoy learning so many codes, I am now really comfortable in python.","I still think that the ethics are a little bit boring, although they are important."
Learning about how to manipulate data has been fun,"I'm not sure if it's by design, but I feel like I don't know enough about how to use pandas, seaborn, etc., by the end of lectures, and end up spending a lot of time on discussion labs and assignments. (Maybe the lecture is for the theory and labs are for application?)"
"While looking for an idea for the project proposal, I was looking through the previous projects for inspiration. I found a lot of the projects interesting and how they were able to ask insightful questions and answer them using data science. ",The coding aspect of this course is by far the hardest and most frustrating thing of this course.  
"I've had a lot of fun working on the project review and project proposal with my teammates. All of our team members try to contribute and give their opinions, which was great. I also enjoyed going to live lectures or watching the recorded lectures. The topics are interesting and I like how everything is explained nicely so that we can easily understand everything.","The thing I liked the least is doing Discussion labs and assignments. I know they are supposed to help me practice so that I can do better for my project, but I felt like what we need to do for the labs and assignment are much more harder/advanced than what we learned in class. I had a really hard time trying to figure out D3. I tried watching technical discussion recording, going to a technical discussion, and going to the project discussion (I was waiting in the waiting room but ended up leaving because of my other schedule), but I wasn't able to get enough help / get enough idea on how to do some parts of D3."
assignments and discussion,maybe the quiz
After finished the assignment or lab it the most enjoyable time I have in COGS 108,"The process of creating our project topic, it is so hard and our team spend so many time thinking our topic. "
"I like how Professor Ellis goes through the notebook in class and we are able to follow along, so I guess it's the format of the Jupyter notebooks that allows this. Also, the fact that she goes through all the cells in lecture is helpful. ","It's pretty fast paced and I haven't worked too much with Python before so it's a little difficult, but not unbearable. "
The assignments have been really fun. In my classes thus far as a CS major I don't really recall the last time I had fun throughout the process of a programming assignment. Moreso it has just been a rush of adrenaline when finishing a lab but for this class it's fun throughout.,"Rather than being something I dislike, it is overwhelming having more than one technology (Pandas & Seaborn) but that's normal. It's a lot more self-study than I expected."
Being able to approach the project with my group so far,"Waking up at 9am, quizzes because I keep getting 1 or so questions wrong"
I've enjoyed working on a long-term project that feels like something I created.,"Much of the assignments feel like information I've been taught in previous classes such as basic pandas, but I understand that that is probably necessary for many students."
I have most enjoyed being able to actually do data science related tasks.,What I have liked least is the stuff to do with github because I am not familiar with it so it is still a little confusing. 
The assignments are a good look into Pandas,Finding the data for our project
"The lectures in datahub, they are very clear and a good review of Python information while explaining why certain choices are made for analysis","The discussion assignments, I often feel like they are harder than the actual assignments and it's hard to prioritize discussion assignments when they aren't mandatory/I don't have time in the week to work on it for a few hours"
"Learning how to apply Python to Data Science. I previously took COGS 18 to learn the basics, but it's been really fun to learn how to apply it to data science problems.",Finding a question with my group was really hard :((
The office hours and the study environments since we have multiple resource to ask for help or questions.,The assignment because it is kind of a lot and hard for me since I don't have much python experiences before.
Learning about the possible research questions we can answer using data science,Assignments
Being able to do the final project a group. It really helps being able to bounce ideas off 3-4 other people.,I don't like the discussion assignments. I have a really hard time trying to figure out how to do them even after office hours.
learning about various python libraries; I have a lot of experience in Python but never delved into the basic usage of these useful libraries.,"I feel like the D# (D1, D2, etc) should be more basic/ tutorial style, because the only point of these are to teach and help understand rather than test knowledge (like the A# and Q# should). If the D# had more hints or more explicit about how to solve the problem, that would be extremely helpful. "
"I enjoyed recapping on Python, which I taught myself using online resources during high school. I also enjoyed learning how to get going on the data science project.","As I am pretty unfamiliar with pandas, the discussions have been a bit harder for me, but this may also be due to the fact that I'm not able to access the discussion recordings."
"Getting to make data visualizations! I've only really ever done something similar to it when I took AP Statistics in high school and would run statistical graphs on my TI-nspire software, but nothing as interactive and fun as making the visualizations for discussion labs and assignments.","Although I enjoy making the visualizations, I don't have a strong foundation in python or programming skills, so it has been frustrating getting used to the syntax, processes and general logistics of it. "
"The thing I have enjoyed the most about COGS 108 is the lectures and material we have covered in class, because it is throughly explained and easy to conceptualize.",The thing I liked the least is having to coordinate group times with everyone because it is a bit challenging to coordinate times virtually.
Learning and trying code out in datahub and seeing how the code changes data. It is cool to see how edits in code can manipulate data tables.,"The weight of each assignment and components of the project are stressful and overwhelming because they are worth a significant percent of my grade and unlike discussions and quizzes, it hard to be assured that I did it well and/or get quick feedback."
I enjoy the lectures the most. Professor is prepared and delivers very informative materials in a fun way. A good start for my mornings.,"I like quizzes the least. They are good markers to make sure students are on track with the materials but the questions require more thinking. So, I stress on them a bit more than I should for a check up assignment."
The project is the most fun and greatest learning experience thus far,"I prefer piazza to CampusWire, but I am slowly getting the hang of it"
The assignments,trying to find a group 
So far I have enjoyed learning about Pandas and how to use it in conjunction with data. It is my first time taking a data science course so I had no familiarity with the package beforehand so it has been interesting to learn how effective it is in reading data and processing it in analytical way.,I have not enjoyed the quizzes too much as I feel it would be better if we could earn back the points we lose in some way. This is due to some earlier quizzes having trickier questions but it is reasonable as the loss isn't too large. The quiz questions are fine as they do just ask largely about things one should know straight from lecture notes and recordings.
I’ve most enjoyed the lectures. Dr Ellis is a very engaging professor!,"I have disliked the fact that a lot of technical code related things are glossed over — even after having taken cogs 18 it really feels like this is a class meant for CS majors. Given that it’s a cogs major requirement, I think catering more to cogs majors makes sense. "
Lectures are not boring. ,loss of direction for final project 
Getting to work on data project with groups on the topic that we are interested in,"Using pandas and discussion homeworks (im really glad that its not graded based on our correction, but some questions are a little tough for me to solve)"
Learning how to handle data through Python libraries.,Need to memorize lots of syntax due to having to deal with different libraries.
Meeting my team.,The arbitrary grading of the project.
I love Ellis's teaching style. She's very clear in her speaking and thought and is very responsive to the comments. ,"Not that I liked the least, but the fact that I have already learned the materials in previous classes makes COGS 108 more like a review session."
"I learn a lot on python, it is find of fun at the beginning.","but also getting so much harder at the last couple week. I have spent a lot of time to do the assignment, I have lost passion and cry a lot during the assignment."
Learning pandas ,Thinking project proposal
Professor Ellis's lectures,the homework and discussion assignments and group work
I enjoyed that there are many extra resources and materials provided by the course github page.,"The thing I liked least about this course is that although there are many office hours hosted by TA, IA, and professor. It would be more helpful and convenient if there are more hours every day. "
I have enjoyed the assignments because I have been able to practice my skills with some cool real world examples.,
I enjoy how interactive the discussions and homework are.  I feel like the ideas that are taught in lecture are immediately enforced with the discussion assignments and homework.  It helps to retain the information in a low stake manner.,"Something that I feel is a blessing and curse is the openness of the project.  It was hard for my group to come up with something original and interesting, and it could have been nice to have some direction.  I appreciate this as well however, as it gives us the ability to explore anything we want."
"Having many chances to practice (projects, assignments, discussions)",Not knowing the statistics theory well (deep reasoning behind different plotting methods)
I really enjoyed using models we learned to visualize data. ,"Well, as a student in dsc major, I'm quite well with python. However, I have to check pandas documentation each time I use pandas. I know it's a painful growing period. But worth it, pandas is a really important package in python. "
the group project. So I get to meet people and make friends with my groupmates.,the coding is hard. I need to google tons of information to answer the questions. 
The lectures. Learning to conduct a data science research is pretty cool.,"The multiple deadlines coming on every Friday. It is convenient for sure, but it can be overwhelming in busy weeks. "
"Incorporation of course material into jupyter notebook and github, which allows me to practice using those tools while studying the course. ","Probably more tutorial on github will help because I was less exposed to the site before. When we were working on the project proposal, cloning and commiting the template from github onto jupyter notebook was a bit confusing for me and took some time to work it out. "
learn to use seaborn to plot visualizations for dataset,Nothing!
I enjoyed what I could learn from this course because I feel like all the things that I am learning now are not so challenging to me and those things will definitely be helpful in the future.,"Things I need to do for this course every week is too separated (Quiz, Assignment, Discussion work, group work) so I have to think about all those kinds of assignments about whether I have finished them or not."
learning different method and information about data analysis,Having difficulties on finding the best data for project
Dataframes are pretty cool,Creating the charts. Those functions are quite annoying since they don't have a standard format.
"I enjoy the assignments the most, since I learned pandas before but was unfamiliar with the syntax, so I picked up the syntax while doing the assignment.","I think some of the assignment description could be more clear, thank you."
chill people. noice professor.,no?
"I've enjoyed how visually understanding the lectures are, they are easy to follow which makes the class less daunting. (Also, the energy of the class!)","I hope that in future lectures, they are more guiding toward the assignments and discussion labs since its hard to know where to start on some problems without guidance. "
"assignment and lecture, learned alot from the lecture,and use it on our assignment is fun.","project,   people in different time zone is the problem that we cannot or hard for us to planning a time to meet sometimes."
Looking all those data become organized is so fun!,Not really everything is pretty find
"The asynchronous nature of the class, it is easy for me to be flexible around when I can do work for this class during the week, and allows leniency for other classwork.",Its a little hard to do self-study on how to use certain modules.
"I love the exploration of ethics and statistics that we have engaged in. It’s really important to make clear that ethical usage of data needs to be a priority. Tying data science with its statistical roots also helps me grasp the Python implementation of statistical analysis that we perform in this class, even if it’s currently limited to descriptive statistics and representation. ","There is a major Python difficulty spike from COGS 18 that I was not prepared for. This could be from a lack of preparation on my part. However, I performed exceptionally well in COGS 18, and I am struggling quite more than anticipated with regards to programming in this course. Getting adjusted to GitHub is also proving difficult, at least with regards to utilizing Terminal. "
Learning about how to manage different data.,"Trying to figure out how to work with different python libraries (pd, sns, np, mpl) to get things to work."
"I  like how the discussion labs are graded on effort. Sometimes I can't figure out the correct methods to use, so it's less stressful.","Probably having to work on a group project. I don't have issues with my group, but group projects make me uneasy sometimes. "
seeing real life applications to the concepts we're learning about (i enjoyed the candy data set in A2!),discussion assignments are tedious and sometimes harder than the actual assignments themselves 
So far I enjoy learning from the assignments. I think they're applicable and are helpful in terms of the material.,I'm stressed out about the project. I really don't have the programming comfort to be a huge help. I honestly feel really useless on my team
"Coding Assignments, because its been my first experience with python and i have found it interesting so far",Nothing so far
"How the class is organized, ie I like how the Discussion slides are graded based on completion rather than correctness so that it makes it less stressful",Nothing blatant comes to mind
I've enjoyed going through the discussion notebooks and the assignments. I thought they were a good review for the concepts and processes that I've previously learned in DSC classes.,"For me personally, it has been the pace of the class. I understand that it's hard to accommodate everyone, especially since the class has a wide variety of majors and programming experience. I just feel like the class has been moving a bit too slowly. I would also like to have more instructions on the process of creating a data science project from scratch since that is a big portion of the class."
the assignments. working with data is actually quite fun. really looking forward to the group project,there isn't anything in particular. the class has been going great for me so far
"I've enjoyed learning about pandas, seaborn, and data visualizations I never knew we could do in python. I've been learning a lot so far.","Something I've liked least about Cogs 108 could be that the discussion labs are a little long, but that's okay."
"I like being able to work in a group, especially during covid ",The workload is kind of a lot and the material definitely isn't easy
Lecture is most I enjoyed. I likes how you use example to explain those technical  things.,Anything is good
The coding as I like Jupyter Notebok.,The different graph. 
I have enjoyed learning the essentials to becoming comfortable coding with Python.,The assignment deadlines are lining up with other class assignment deadlines but that is all. 
Getting to do some hands-on Pandas stuff in smaller doses with the discussion notebooks.,"The fact that we have to come up with the project proposal (which essentially also means already having a particular dataset, etc in mind preemptively) before we've learned much about the type of analysis we'll be doing."
I have liked how topics are discussed in lecture in a clear and organized manner. I also like all the project deadlines to keep us on track and that it is all spaced out ,I don't really understand lecture since it's usually large blocks of code and we go through them quickly rather than breaking down each code line. I also don't like how most of the topics in discussion lab are not in lecture and I feel like I have to google most of it to understand. 
"I've really enjoyed getting to experiment with dataframes, and the idea of learning modules like pandas, matplotlib, and numpy,","Learning these modules is real confusing... Like I understand a good amount of python, but I can't wrap my head around the data manipulations and plotting stuff. Still feel like I need a ton more help and it's making me very stressed about making progress on my project, since there's so much I want to do but I just can't because I don't know how to go about starting."
It has been fun working in python given that it's a new language to me; I have enjoyed learning the new syntax and am enjoying the simplicity (and dynamic typing) in python.,"Lecture can be a little dense/fast sometimes. Occasionally, professor will take time and carefully express how a certain function works and gives multiple examples of different uses; other times she breezes through a function and gives a general idea of how it works, this results in many students (at least the ones I have communicated with) investing a large sum of time figuring out how to use certain functions during each and every assignment so far."
I enjoy the data visualization,Vaguely worded options in quizzes
Constantly learning new materials on Python and Pandas. There's so much to data science and computer science I don't know about. Having a glimpse into the two worlds is quite intriguing and eye-opening. ,"The materials are getting scarier by lecture. The amount of new stuff is a little overwhelming to me, especially when applying them in the discussion labs and upcoming assignments, as well as for the final project. I worry that my performance won't be as satisfactory as I'd hope. It's also extremely time consuming to me because of my limited knowledge, but whenever I get it it's the best feeling."
I enjoy working with python,the coding aspect is a lil overwhelming 
The lectures are very chill and not too intense material. The class is very decently paced including assignments and due dates.,Sometimes I feel like quiz material is not covered in the lectures or is very detailed so it's hard to remember. I take notes on majority of the content and sometimes I still can't recall/find it.
